"Label (Grouping)","Total:","Total:!!Car, truck, or van:","Total:!!Car, truck, or van:!!Drove alone","Total:!!Car, truck, or van:!!Carpooled:","Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Total:!!Car, truck, or van:!!Carpooled:!!In 4-or-more-person carpool","Total:!!Public transportation (excluding taxicab):","Total:!!Public transportation (excluding taxicab):!!Bus","Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail","Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Total:!!Public transportation (excluding taxicab):!!Ferryboat","Total:!!Bicycle","Total:!!Walked","Total:!!Taxicab, motorcycle, or other means","Total:!!Worked from home","Total:!!Male:","Total:!!Male:!!Car, truck, or van:","Total:!!Male:!!Car, truck, or van:!!Drove alone","Total:!!Male:!!Car, truck, or van:!!Carpooled:","Total:!!Male:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Total:!!Male:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Total:!!Male:!!Car, truck, or van:!!Carpooled:!!In 4-or-more-person carpool","Total:!!Male:!!Public transportation (excluding taxicab):","Total:!!Male:!!Public transportation (excluding taxicab):!!Bus","Total:!!Male:!!Public transportation (excluding taxicab):!!Subway or elevated rail","Total:!!Male:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","Total:!!Male:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Total:!!Male:!!Public transportation (excluding taxicab):!!Ferryboat","Total:!!Male:!!Bicycle","Total:!!Male:!!Walked","Total:!!Male:!!Taxicab, motorcycle, or other means","Total:!!Male:!!Worked from home","Total:!!Female:","Total:!!Female:!!Car, truck, or van:","Total:!!Female:!!Car, truck, or van:!!Drove alone","Total:!!Female:!!Car, truck, or van:!!Carpooled:","Total:!!Female:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Total:!!Female:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Total:!!Female:!!Car, truck, or van:!!Carpooled:!!In 4-or-more-person carpool","Total:!!Female:!!Public transportation (excluding taxicab):","Total:!!Female:!!Public transportation (excluding taxicab):!!Bus","Total:!!Female:!!Public transportation (excluding taxicab):!!Subway or elevated rail","Total:!!Female:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","Total:!!Female:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Total:!!Female:!!Public transportation (excluding taxicab):!!Ferryboat","Total:!!Female:!!Bicycle","Total:!!Female:!!Walked","Total:!!Female:!!Taxicab, motorcycle, or other means","Total:!!Female:!!Worked from home"
"Abilene, TX Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","78,892","70,902","62,386","8,516","6,386","1,095","1,035","467","464","0","0","0","3","200","1,737","606","4,980","41,630","37,561","33,310","4,251","3,313","367","571","85","85","0","0","0","0","164","962","418","2,440","37,262","33,341","29,076","4,265","3,073","728","464","382","379","0","0","0","3","36","775","188","2,540"
"    Margin of Error","±1,212","±1,185","±1,279","±812","±751","±250","±274","±334","±334","±33","±33","±33","±5","±136","±389","±155","±662","±1,015","±928","±1,004","±552","±493","±142","±211","±76","±76","±33","±33","±33","±33","±105","±236","±128","±464","±792","±936","±930","±521","±502","±183","±148","±317","±317","±33","±33","±33","±5","±51","±274","±72","±401"
"Aguadilla-Isabela, PR Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","78,691","72,749","65,218","7,531","5,024","1,786","721","366","131","50","19","74","92","273","2,228","674","2,401","45,470","41,785","38,879","2,906","2,233","425","248","232","85","36","19","0","92","248","1,309","477","1,419","33,221","30,964","26,339","4,625","2,791","1,361","473","134","46","14","0","74","0","25","919","197","982"
"    Margin of Error","±1,728","±1,818","±1,850","±756","±636","±402","±200","±169","±87","±61","±32","±67","±98","±155","±424","±203","±399","±1,211","±1,204","±1,223","±449","±411","±171","±112","±135","±51","±56","±32","±34","±98","±152","±317","±165","±280","±1,241","±1,315","±1,333","±564","±409","±347","±173","±82","±65","±22","±34","±67","±34","±28","±243","±101","±217"
"Akron, OH Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","344,203","309,068","284,695","24,373","18,750","3,193","2,430","3,650","3,593","11","0","34","12","349","5,249","2,254","23,633","178,154","161,177","149,246","11,931","9,335","1,508","1,088","1,667","1,622","11","0","34","0","261","2,962","1,400","10,687","166,049","147,891","135,449","12,442","9,415","1,685","1,342","1,983","1,971","0","0","0","12","88","2,287","854","12,946"
"    Margin of Error","±2,691","±2,982","±3,075","±1,354","±1,184","±520","±427","±482","±482","±13","±29","±41","±19","±153","±582","±365","±1,435","±1,685","±1,979","±2,029","±864","±772","±326","±267","±331","±324","±13","±29","±41","±29","±149","±457","±326","±877","±2,099","±2,066","±2,005","±912","±808","±348","±272","±374","±374","±29","±29","±29","±19","±49","±362","±216","±1,036"
"Albany, GA Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","60,516","55,369","48,833","6,536","4,865","1,184","487","561","557","0","0","4","0","96","1,086","838","2,566","29,209","26,490","23,327","3,163","2,296","535","332","257","257","0","0","0","0","96","646","445","1,275","31,307","28,879","25,506","3,373","2,569","649","155","304","300","0","0","4","0","0","440","393","1,291"
"    Margin of Error","±1,338","±1,312","±1,313","±722","±590","±270","±211","±210","±211","±33","±33","±7","±33","±78","±282","±278","±441","±965","±899","±918","±531","±411","±209","±165","±163","±163","±33","±33","±33","±33","±78","±212","±204","±288","±828","±901","±937","±413","±402","±172","±87","±138","±139","±33","±33","±7","±33","±33","±152","±203","±303"
"Albany-Lebanon, OR Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","55,483","49,876","44,243","5,633","4,326","788","519","71","51","4","14","2","0","316","1,067","718","3,435","29,228","26,426","23,286","3,140","2,514","357","269","49","29","4","14","2","0","265","674","373","1,441","26,255","23,450","20,957","2,493","1,812","431","250","22","22","0","0","0","0","51","393","345","1,994"
"    Margin of Error","±1,180","±1,226","±1,352","±656","±583","±247","±242","±44","±39","±6","±21","±3","±30","±114","±240","±251","±517","±788","±805","±909","±460","±412","±157","±148","±38","±34","±6","±21","±3","±30","±109","±170","±170","±287","±858","±841","±852","±366","±326","±145","±134","±19","±19","±30","±30","±30","±30","±44","±157","±150","±353"
"Albany-Schenectady-Troy, NY Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","440,700","376,617","342,326","34,291","28,529","3,838","1,924","14,719","13,771","251","511","65","121","1,038","14,446","3,694","30,186","227,120","195,631","178,802","16,829","14,170","1,637","1,022","6,278","5,805","84","290","53","46","739","7,612","1,925","14,935","213,580","180,986","163,524","17,462","14,359","2,201","902","8,441","7,966","167","221","12","75","299","6,834","1,769","15,251"
"    Margin of Error","±2,746","±3,340","±3,741","±1,931","±1,788","±627","±346","±1,137","±1,072","±98","±223","±52","±81","±259","±1,036","±624","±1,557","±1,705","±2,147","±2,304","±1,123","±1,072","±339","±243","±700","±683","±46","±133","±47","±46","±217","±799","±362","±1,143","±1,973","±2,009","±2,135","±1,213","±1,119","±407","±210","±797","±749","±79","±173","±20","±73","±121","±605","±419","±868"
"Albuquerque, NM Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","416,188","368,051","327,861","40,190","30,229","6,168","3,793","5,614","4,791","22","710","29","62","2,847","6,786","4,597","28,293","216,456","190,774","171,435","19,339","14,458","2,998","1,883","3,238","2,904","7","288","21","18","2,105","4,113","2,877","13,349","199,732","177,277","156,426","20,851","15,771","3,170","1,910","2,376","1,887","15","422","8","44","742","2,673","1,720","14,944"
"    Margin of Error","±3,671","±4,111","±4,217","±2,145","±1,844","±755","±543","±643","±596","±26","±153","±39","±58","±443","±841","±597","±1,539","±2,698","±2,696","±2,738","±1,265","±1,008","±472","±424","±460","±449","±12","±90","±37","±28","±370","±547","±423","±1,086","±2,464","±2,739","±2,726","±1,342","±1,187","±476","±311","±365","±338","±23","±118","±12","±50","±206","±574","±376","±1,141"
"Alexandria, LA Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","62,006","55,840","50,533","5,307","4,246","565","496","1,048","1,037","11","0","0","0","59","1,607","1,843","1,609","31,955","28,923","25,934","2,989","2,415","329","245","390","379","11","0","0","0","28","808","1,195","611","30,051","26,917","24,599","2,318","1,831","236","251","658","658","0","0","0","0","31","799","648","998"
"    Margin of Error","±1,421","±1,689","±1,603","±627","±605","±185","±179","±337","±337","±17","±32","±32","±32","±41","±528","±498","±328","±1,027","±1,083","±1,081","±478","±439","±162","±128","±190","±191","±17","±32","±32","±32","±23","±260","±414","±212","±991","±1,172","±1,137","±418","±383","±108","±107","±260","±260","±32","±32","±32","±32","±34","±433","±209","±233"
"Allentown-Bethlehem-Easton, PA-NJ Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","408,156","360,684","327,777","32,907","25,306","4,719","2,882","6,403","5,737","257","323","42","44","671","9,917","4,576","25,905","214,789","191,190","174,449","16,741","13,060","2,126","1,555","2,903","2,442","139","251","27","44","508","5,216","2,232","12,740","193,367","169,494","153,328","16,166","12,246","2,593","1,327","3,500","3,295","118","72","15","0","163","4,701","2,344","13,165"
"    Margin of Error","±2,916","±3,313","±3,196","±1,641","±1,503","±597","±502","±718","±668","±99","±114","±46","±51","±219","±1,121","±740","±1,274","±1,786","±2,093","±2,169","±1,031","±937","±381","±428","±412","±399","±76","±109","±42","±51","±204","±769","±429","±877","±2,126","±2,126","±1,911","±1,054","±859","±465","±294","±566","±556","±63","±60","±20","±29","±85","±622","±492","±855"
"Altoona, PA Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","55,225","50,268","45,888","4,380","3,446","408","526","669","662","0","7","0","0","142","1,684","377","2,085","28,979","26,260","23,957","2,303","1,757","227","319","375","375","0","0","0","0","110","965","226","1,043","26,246","24,008","21,931","2,077","1,689","181","207","294","287","0","7","0","0","32","719","151","1,042"
"    Margin of Error","±953","±909","±953","±493","±449","±127","±145","±186","±187","±26","±8","±26","±26","±74","±323","±124","±318","±525","±595","±625","±361","±315","±90","±102","±162","±162","±26","±26","±26","±26","±62","±227","±89","±212","±692","±661","±721","±285","±275","±81","±83","±115","±116","±26","±8","±26","±26","±27","±209","±82","±191"
"Amarillo, TX Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","124,068","115,718","102,166","13,552","9,829","2,234","1,489","328","328","0","0","0","0","247","2,032","1,403","4,340","67,252","62,366","55,099","7,267","5,514","1,086","667","207","207","0","0","0","0","149","1,303","911","2,316","56,816","53,352","47,067","6,285","4,315","1,148","822","121","121","0","0","0","0","98","729","492","2,024"
"    Margin of Error","±1,609","±1,621","±1,754","±906","±879","±362","±394","±178","±178","±33","±33","±33","±33","±125","±362","±372","±524","±1,096","±1,129","±1,192","±685","±645","±279","±233","±135","±135","±33","±33","±33","±33","±88","±259","±262","±369","±1,268","±1,303","±1,381","±592","±520","±218","±266","±80","±80","±33","±33","±33","±33","±74","±235","±182","±317"
"Ames, IA Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
