Parent,ParentFIPS,Child,ChildFIPS
"Abilene, TX (Metropolitan Statistical Area)","10180","Callahan, TX","48059"
"Abilene, TX (Metropolitan Statistical Area)","10180","Jones, TX","48253"
"Abilene, TX (Metropolitan Statistical Area)","10180","Taylor, TX","48441"
"Akron, OH (Metropolitan Statistical Area)","10420","Portage, OH","39133"
"Akron, OH (Metropolitan Statistical Area)","10420","Summit, OH","39153"
"Albany, GA (Metropolitan Statistical Area)","10500","Dougherty, GA","13095"
"Albany, GA (Metropolitan Statistical Area)","10500","Lee, GA","13177"
"Albany, GA (Metropolitan Statistical Area)","10500","Terrell, GA","13273"
"Albany, GA (Metropolitan Statistical Area)","10500","Worth, GA","13321"
"Albany-Lebanon, OR (Metropolitan Statistical Area)","10540","Linn, OR","41043"
"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)","10580","Albany, NY","36001"
"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)","10580","Rensselaer, NY","36083"
"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)","10580","Saratoga, NY","36091"
"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)","10580","Schenectady, NY","36093"
"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)","10580","Schoharie, NY","36095"
"Albuquerque, NM (Metropolitan Statistical Area)","10740","Bernalillo, NM","35001"
"Albuquerque, NM (Metropolitan Statistical Area)","10740","Sandoval, NM","35043"
"Albuquerque, NM (Metropolitan Statistical Area)","10740","Torrance, NM","35057"
"Albuquerque, NM (Metropolitan Statistical Area)","10740","Valencia, NM","35061"
"Alexandria, LA (Metropolitan Statistical Area)","10780","Grant, LA","22043"
"Alexandria, LA (Metropolitan Statistical Area)","10780","Rapides, LA","22079"
"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)","10900","Warren, NJ","34041"
"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)","10900","Carbon, PA","42025"
"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)","10900","Lehigh, PA","42077"
"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)","10900","Northampton, PA","42095"
"Altoona, PA (Metropolitan Statistical Area)","11020","Blair, PA","42013"
"Amarillo, TX (Metropolitan Statistical Area)","11100","Armstrong, TX","48011"
"Amarillo, TX (Metropolitan Statistical Area)","11100","Carson, TX","48065"
"Amarillo, TX (Metropolitan Statistical Area)","11100","Oldham, TX","48359"
"Amarillo, TX (Metropolitan Statistical Area)","11100","Potter, TX","48375"
"Amarillo, TX (Metropolitan Statistical Area)","11100","Randall, TX","48381"
"Ames, IA (Metropolitan Statistical Area)","11180","Boone, IA","19015"
"Ames, IA (Metropolitan Statistical Area)","11180","Story, IA","19169"
"Anchorage, AK (Metropolitan Statistical Area)","11260","Anchorage Municipality, AK","02020"
"Anchorage, AK (Metropolitan Statistical Area)","11260","Matanuska-Susitna Borough, AK","02170"
"Ann Arbor, MI (Metropolitan Statistical Area)","11460","Washtenaw, MI","26161"
"Anniston-Oxford, AL (Metropolitan Statistical Area)","11500","Calhoun, AL","01015"
"Appleton, WI (Metropolitan Statistical Area)","11540","Calumet, WI","55015"
"Appleton, WI (Metropolitan Statistical Area)","11540","Outagamie, WI","55087"
"Asheville, NC (Metropolitan Statistical Area)","11700","Buncombe, NC","37021"
"Asheville, NC (Metropolitan Statistical Area)","11700","Haywood, NC","37087"
"Asheville, NC (Metropolitan Statistical Area)","11700","Henderson, NC","37089"
"Asheville, NC (Metropolitan Statistical Area)","11700","Madison, NC","37115"
"Athens-Clarke County, GA (Metropolitan Statistical Area)","12020","Clarke, GA","13059"
"Athens-Clarke County, GA (Metropolitan Statistical Area)","12020","Madison, GA","13195"
"Athens-Clarke County, GA (Metropolitan Statistical Area)","12020","Oconee, GA","13219"
"Athens-Clarke County, GA (Metropolitan Statistical Area)","12020","Oglethorpe, GA","13221"
"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)","12060","Barrow, GA","13013"
"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)","12060","Bartow, GA","13015"
"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)","12060","Butts, GA","13035"
"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)","12060","Carroll, GA","13045"
"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)","12060","Cherokee, GA","13057"
"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)","12060","Clayton, GA","13063"
"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)","12060","Cobb, GA","13067"
"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)","12060","Coweta, GA","13077"
"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)","12060","Dawson, GA","13085"
"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)","12060","DeKalb, GA","13089"
"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)","12060","Douglas, GA","13097"
"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)","12060","Fayette, GA","13113"
"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)","12060","Forsyth, GA","13117"
"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)","12060","Fulton, GA","13121"
"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)","12060","Gwinnett, GA","13135"
"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)","12060","Haralson, GA","13143"
"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)","12060","Heard, GA","13149"
"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)","12060","Henry, GA","13151"
"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)","12060","Jasper, GA","13159"
"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)","12060","Lamar, GA","13171"
"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)","12060","Meriwether, GA","13199"
"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)","12060","Morgan, GA","13211"
"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)","12060","Newton, GA","13217"
"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)","12060","Paulding, GA","13223"
"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)","12060","Pickens, GA","13227"
"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)","12060","Pike, GA","13231"
"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)","12060","Rockdale, GA","13247"
