# Title: January - December 2020 Contiguous U.S. County Cooling Degree Days
# Units: Fahrenheit Degree-Days
# Missing: -99
# Note: Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
AL-001,Autauga County,Alabama,2340,249,111,2091
AL-003,Baldwin County,Alabama,2728,287,115,2441
AL-005,Barbour County,Alabama,2217,44,71,2173
AL-007,Bibb County,Alabama,1953,-6,54,1959
AL-009,Blount County,Alabama,1757,93,81,1664
AL-011,Bullock County,Alabama,2210,130,93,2080
AL-013,Butler County,Alabama,2440,301,115,2139
AL-015,Calhoun County,Alabama,1798,122,87,1676
AL-017,Chambers County,Alabama,1748,69,80,1679
AL-019,Cherokee County,Alabama,1695,19,66,1676
AL-021,Chilton County,Alabama,1976,70,73,1906
AL-023,Choctaw County,Alabama,2318,146,96,2172
AL-025,Clarke County,Alabama,2448,253,111,2195
AL-027,Clay County,Alabama,1647,110,89,1537
AL-029,Cleburne County,Alabama,1603,133,92,1470
AL-031,Coffee County,Alabama,2465,206,106,2259
AL-033,Colbert County,Alabama,1709,56,74,1653
AL-035,Conecuh County,Alabama,2605,320,121,2285
AL-037,Coosa County,Alabama,1903,103,81,1800
AL-039,Covington County,Alabama,2544,245,112,2299
AL-041,Crenshaw County,Alabama,2338,233,108,2105
AL-043,Cullman County,Alabama,1700,73,78,1627
AL-045,Dale County,Alabama,2475,173,100,2302
AL-047,Dallas County,Alabama,2372,220,108,2152
AL-049,DeKalb County,Alabama,1376,-77,42,1453
AL-051,Elmore County,Alabama,2261,213,108,2048
AL-053,Escambia County,Alabama,2630,281,117,2349
AL-055,Etowah County,Alabama,1752,52,71,1700
AL-057,Fayette County,Alabama,1936,25,62,1911
AL-059,Franklin County,Alabama,1609,-17,55,1626
AL-061,Geneva County,Alabama,2640,278,115,2362
AL-063,Greene County,Alabama,2148,-31,51,2179
AL-065,Hale County,Alabama,2105,-19,54,2124
AL-067,Henry County,Alabama,2458,146,101,2312
AL-069,Houston County,Alabama,2714,267,112,2447
AL-071,Jackson County,Alabama,1476,-29,53,1505
AL-073,Jefferson County,Alabama,1941,102,83,1839
AL-075,Lamar County,Alabama,1956,18,59,1938
AL-077,Lauderdale County,Alabama,1631,42,72,1589
AL-079,Lawrence County,Alabama,1578,-64,41,1642
AL-081,Lee County,Alabama,1936,49,74,1887
AL-083,Limestone County,Alabama,1569,-58,45,1627
AL-085,Lowndes County,Alabama,2511,324,117,2187
AL-087,Macon County,Alabama,2182,98,88,2084
AL-089,Madison County,Alabama,1616,-5,59,1621
AL-091,Marengo County,Alabama,2266,98,82,2168
AL-093,Marion County,Alabama,1712,-25,54,1737
AL-095,Marshall County,Alabama,1647,15,62,1632
AL-097,Mobile County,Alabama,2726,342,121,2384
AL-099,Monroe County,Alabama,2605,378,121,2227
AL-101,Montgomery County,Alabama,2524,360,117,2164
AL-103,Morgan County,Alabama,1685,33,67,1652
AL-105,Perry County,Alabama,2115,55,72,2060
AL-107,Pickens County,Alabama,2077,-11,55,2088
AL-109,Pike County,Alabama,2275,130,99,2145
AL-111,Randolph County,Alabama,1627,96,86,1531
AL-113,Russell County,Alabama,2124,24,66,2100
AL-115,St. Clair County,Alabama,1836,121,87,1715
AL-117,Shelby County,Alabama,1925,94,79,1831
AL-119,Sumter County,Alabama,2199,27,63,2172
AL-121,Talladega County,Alabama,1910,144,97,1766
AL-123,Tallapoosa County,Alabama,1836,68,77,1768
AL-125,Tuscaloosa County,Alabama,2017,-49,49,2066
AL-127,Walker County,Alabama,1870,32,64,1838
AL-129,Washington County,Alabama,2491,224,109,2267
AL-131,Wilcox County,Alabama,2438,244,110,2194
AL-133,Winston County,Alabama,1584,-43,50,1627
AZ-001,Apache County,Arizona,739,308,129,431
AZ-003,Cochise County,Arizona,1990,589,129,1401
AZ-005,Coconino County,Arizona,1108,462,129,646
AZ-007,Gila County,Arizona,1926,624,129,1302
AZ-009,Graham County,Arizona,2170,653,129,1517
AZ-011,Greenlee County,Arizona,1377,522,129,855
AZ-012,La Paz County,Arizona,4348,777,129,3571
AZ-013,Maricopa County,Arizona,4286,1034,129,3252
AZ-015,Mohave County,Arizona,2568,639,129,1929
AZ-017,Navajo County,Arizona,1016,398,129,618
AZ-019,Pima County,Arizona,3436,854,129,2582
AZ-021,Pinal County,Arizona,3830,906,129,2924
AZ-023,Santa Cruz County,Arizona,1761,524,129,1237
AZ-025,Yavapai County,Arizona,1890,610,129,1280
AZ-027,Yuma County,Arizona,4526,936,129,3590
AR-001,Arkansas County,Arkansas,1972,-75,41,2047
AR-003,Ashley County,Arkansas,2104,27,66,2077
AR-005,Baxter County,Arkansas,1304,-79,45,1383
AR-007,Benton County,Arkansas,1427,13,65,1414
AR-009,Boone County,Arkansas,1209,-130,33,1339
AR-011,Bradley County,Arkansas,1999,-39,48,2038
AR-013,Calhoun County,Arkansas,1924,-129,29,2053
AR-015,Carroll County,Arkansas,1266,-82,45,1348
AR-017,Chicot County,Arkansas,2128,-39,46,2167
AR-019,Clark County,Arkansas,1783,-206,22,1989
AR-021,Clay County,Arkansas,1641,-32,53,1673
AR-023,Cleburne County,Arkansas,1457,-101,33,1558
AR-025,Cleveland County,Arkansas,1814,-194,18,2008
AR-027,Columbia County,Arkansas,1870,-248,20,2118
AR-029,Conway County,Arkansas,1622,-151,25,1773
