# Title: January - December 2020 Contiguous U.S. County Heating Degree Days,,,,,,,
# Units: Fahrenheit Degree-Days,,,,,,,
# Missing: -99,,,,,,,
# Note: Period of Record: 129 Years,,,,,,,
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean,
AL-001,Autauga County,Alabama,1862,-594,5,2456,
AL-003,Baldwin County,Alabama,1293,-472,4,1765,
AL-005,Barbour County,Alabama,1788,-436,9,2224,
AL-007,Bibb County,Alabama,2272,-481,11,2753,
AL-009,Blount County,Alabama,2585,-646,8,3231,
AL-011,Bullock County,Alabama,1846,-521,7,2367,
AL-013,Butler County,Alabama,1646,-623,3,2269,
AL-015,Calhoun County,Alabama,2456,-666,5,3122,
AL-017,Chambers County,Alabama,2411,-497,9,2908,
AL-019,Cherokee County,Alabama,2640,-612,7,3252,
AL-021,Chilton County,Alabama,2176,-538,8,2714,
AL-023,Choctaw County,Alabama,1829,-495,9,2324,
AL-025,Clarke County,Alabama,1645,-572,2,2217,
AL-027,Clay County,Alabama,2531,-548,8,3079,
AL-029,Cleburne County,Alabama,2552,-749,3,3301,
AL-031,Coffee County,Alabama,1596,-493,7,2089,
AL-033,Colbert County,Alabama,2813,-659,4,3472,
AL-035,Conecuh County,Alabama,1493,-614,2,2107,
AL-037,Coosa County,Alabama,2258,-509,8,2767,
AL-039,Covington County,Alabama,1534,-534,3,2068,
AL-041,Crenshaw County,Alabama,1714,-578,5,2292,
AL-043,Cullman County,Alabama,2701,-607,8,3308,
AL-045,Dale County,Alabama,1588,-441,9,2029,
AL-047,Dallas County,Alabama,1855,-512,8,2367,
AL-049,DeKalb County,Alabama,3020,-498,12,3518,
AL-051,Elmore County,Alabama,1904,-569,4,2473,
AL-053,Escambia County,Alabama,1430,-535,1,1965,
AL-055,Etowah County,Alabama,2604,-575,9,3179,
AL-057,Fayette County,Alabama,2444,-541,10,2985,
AL-059,Franklin County,Alabama,2855,-588,9,3443,
AL-061,Geneva County,Alabama,1463,-488,6,1951,
AL-063,Greene County,Alabama,2154,-416,13,2570,
AL-065,Hale County,Alabama,2180,-389,13,2569,
AL-067,Henry County,Alabama,1588,-448,9,2036,
AL-069,Houston County,Alabama,1401,-479,5,1880,
AL-071,Jackson County,Alabama,3037,-474,12,3511,
AL-073,Jefferson County,Alabama,2368,-607,8,2975,
AL-075,Lamar County,Alabama,2486,-491,12,2977,
AL-077,Lauderdale County,Alabama,2924,-645,4,3569,
AL-079,Lawrence County,Alabama,2934,-471,12,3405,
AL-081,Lee County,Alabama,2158,-438,12,2596,
AL-083,Limestone County,Alabama,2982,-493,14,3475,
AL-085,Lowndes County,Alabama,1708,-606,4,2314,
AL-087,Macon County,Alabama,1957,-449,10,2406,
AL-089,Madison County,Alabama,2938,-503,12,3441,
AL-091,Marengo County,Alabama,1978,-419,13,2397,
AL-093,Marion County,Alabama,2712,-543,9,3255,
AL-095,Marshall County,Alabama,2754,-549,9,3303,
AL-097,Mobile County,Alabama,1330,-502,3,1832,
AL-099,Monroe County,Alabama,1518,-635,1,2153,
AL-101,Montgomery County,Alabama,1684,-653,2,2337,
AL-103,Morgan County,Alabama,2823,-541,10,3364,
AL-105,Perry County,Alabama,2115,-432,10,2547,
AL-107,Pickens County,Alabama,2284,-472,11,2756,
AL-109,Pike County,Alabama,1752,-496,9,2248,
AL-111,Randolph County,Alabama,2555,-599,8,3154,
AL-113,Russell County,Alabama,1925,-439,9,2364,
AL-115,St. Clair County,Alabama,2489,-602,8,3091,
AL-117,Shelby County,Alabama,2335,-547,8,2882,
AL-119,Sumter County,Alabama,2055,-441,13,2496,
AL-121,Talladega County,Alabama,2381,-535,8,2916,
AL-123,Tallapoosa County,Alabama,2330,-452,12,2782,
AL-125,Tuscaloosa County,Alabama,2273,-474,11,2747,
AL-127,Walker County,Alabama,2484,-557,9,3041,
AL-129,Washington County,Alabama,1580,-527,4,2107,
AL-131,Wilcox County,Alabama,1741,-530,6,2271,
AL-133,Winston County,Alabama,2837,-497,10,3334,
AZ-001,Apache County,Arizona,5241,-724,4,5965,
AZ-003,Cochise County,Arizona,2599,-475,11,3074,
AZ-005,Coconino County,Arizona,4622,-831,4,5453,
AZ-007,Gila County,Arizona,3010,-623,10,3633,
AZ-009,Graham County,Arizona,2729,-499,10,3228,
AZ-011,Greenlee County,Arizona,3463,-741,4,4204,
AZ-012,La Paz County,Arizona,1369,-243,27,1612,
AZ-013,Maricopa County,Arizona,1345,-359,15,1704,
AZ-015,Mohave County,Arizona,2750,-468,14,3218,
AZ-017,Navajo County,Arizona,4851,-786,4,5637,
AZ-019,Pima County,Arizona,1639,-358,21,1997,
AZ-021,Pinal County,Arizona,1590,-334,20,1924,
AZ-023,Santa Cruz County,Arizona,2595,-476,16,3071,
AZ-025,Yavapai County,Arizona,3113,-605,10,3718,
AZ-027,Yuma County,Arizona,1146,-264,24,1410,
AR-001,Arkansas County,Arkansas,2592,-467,12,3059,
AR-003,Ashley County,Arkansas,2209,-507,9,2716,
AR-005,Baxter County,Arkansas,3857,-369,22,4226,
AR-007,Benton County,Arkansas,3660,-531,11,4191,
AR-009,Boone County,Arkansas,3944,-346,22,4290,
AR-011,Bradley County,Arkansas,2348,-499,9,2847,
AR-013,Calhoun County,Arkansas,2459,-389,16,2848,
AR-015,Carroll County,Arkansas,3875,-392,21,4267,
AR-017,Chicot County,Arkansas,2186,-489,8,2675,
AR-019,Clark County,Arkansas,2779,-236,29,3015,
AR-021,Clay County,Arkansas,3434,-498,15,3932,
AR-023,Cleburne County,Arkansas,3379,-382,18,3761,
AR-025,Cleveland County,Arkansas,2628,-328,18,2956,
AR-027,Columbia County,Arkansas,2432,-257,24,2689,
AR-029,Conway County,Arkansas,3211,-282,25,3493,
AR-031,Craighead County,Arkansas,3259,-480,13,3739,
AR-033,Crawford County,Arkansas,3276,-417,17,3693,
AR-035,Crittenden County,Arkansas,2837,-488,13,3325,
AR-037,Cross County,Arkansas,3036,-393,17,3429,
AR-039,Dallas County,Arkansas,2742,-230,31,2972,
AR-041,Desha County,Arkansas,2459,-435,11,2894,
AR-043,Drew County,Arkansas,2374,-473,11,2847,
AR-045,Faulkner County,Arkansas,3175,-235,31,3410,
AR-047,Franklin County,Arkansas,3342,-358,18,3700,
AR-049,Fulton County,Arkansas,3807,-552,13,4359,
AR-051,Garland County,Arkansas,2971,-335,19,3306,
AR-053,Grant County,Arkansas,2800,-232,28,3032,
