Cluster,Cluster Name,Emissions per capita (MTCO2e),msa,Variable,Value
3,Sparse Auto,8.521780192812306,"Abilene, TX",Population Density (/sq km),24.019916626761898
7,Dense Active,5.224953343032942,"Akron, OH",Population Density (/sq km),294.0189103599454
3,Sparse Auto,6.560072038030802,"Albany, GA",Population Density (/sq km),35.33337800474568
1,Sparse Active,6.8956968499881794,"Albany-Lebanon, OR",Population Density (/sq km),21.285742632943784
3,Sparse Auto,4.563193172897371,"Albany-Schenectady-Troy, NY",Population Density (/sq km),118.2068952815043
4,Auto Large,7.038307492087349,"Albuquerque, NM",Population Density (/sq km),38.041480875247686
3,Sparse Auto,4.661572413217785,"Allentown-Bethlehem-Easton, PA-NJ",Population Density (/sq km),220.30410307894107
5,Auto Small,4.693678102809026,"Altoona, PA",Population Density (/sq km),89.69337656284897
3,Sparse Auto,9.762586464058558,"Amarillo, TX",Population Density (/sq km),19.671521734799427
1,Sparse Active,6.588536340832919,"Ames, IA",Population Density (/sq km),41.63637185218104
7,Dense Active,4.402935620842415,"Ann Arbor, MI",Population Density (/sq km),196.7818868804965
5,Auto Small,6.64554937950233,"Anniston-Oxford, AL",Population Density (/sq km),72.06392345438152
5,Auto Small,5.39452754882885,"Appleton, WI",Population Density (/sq km),87.88818811476172
3,Sparse Auto,5.7107441421080205,"Asheville, NC",Population Density (/sq km),86.91226767470962
5,Auto Small,5.370655597161981,"Athens-Clarke County, GA",Population Density (/sq km),78.84134898876648
4,Auto Large,5.789558925442073,"Atlanta-Sandy Springs-Alpharetta, GA",Population Density (/sq km),259.6890682764706
5,Auto Small,4.510060212334464,"Atlantic City-Hammonton, NJ",Population Density (/sq km),150.28644841530428
5,Auto Small,6.289928297636136,"Auburn-Opelika, AL",Population Density (/sq km),102.1451230805168
4,Auto Large,5.969913473634678,"Augusta-Richmond County, GA-SC",Population Density (/sq km),65.2432381134883
4,Auto Large,4.331190339513039,"Austin-Round Rock-Georgetown, TX",Population Density (/sq km),196.17147819451
4,Auto Large,6.556526134153044,"Bakersfield, CA",Population Density (/sq km),42.235000522356685
4,Auto Large,5.042565645376257,"Baltimore-Columbia-Towson, MD",Population Density (/sq km),347.37875111637976
1,Sparse Active,5.787938338174279,"Bangor, ME",Population Density (/sq km),16.479003138393946
1,Sparse Active,6.5569086788700774,"Barnstable Town, MA",Population Density (/sq km),76.16694886119089
5,Auto Small,5.718416953304107,"Battle Creek, MI",Population Density (/sq km),71.99516908178414
5,Auto Small,5.806592106921938,"Bay City, MI",Population Density (/sq km),88.17586139186507
3,Sparse Auto,7.23804529158365,"Beaumont-Port Arthur, TX",Population Density (/sq km),58.0944899535836
