msa,Node count,Edge count,Degree average,Edge length total (km),Edge length average (km),Streets per node average,Intersection count,Street length total (km),Street segment count,Street length average (km),Circuity average,Self-loop proportion,Node density (per sq km),Intersection density (per sq km),Edge density (km/sq km),Street density (km/sq km),Building area (sq km),Area (sq km),Carbon Dioxide (Ton),Methane (Ton),Nitrous Oxide (Ton),"    Car, truck, or van:",    Public transportation (excluding taxicab):,    Bicycle,    Walked,"    Taxicab, motorcycle, or other means",    Worked from home,Median Household Income,Household Number,Employment Rate,Unemployment Rate,    Total population,Total housing units,        No vehicles available,        1 vehicle available,        2 vehicles available,        3 or more vehicles available,"        Agriculture, forestry, fishing and hunting, and mining",        Construction,        Manufacturing,        Wholesale trade,        Retail trade,"        Transportation and warehousing, and utilities",        Information,"        Finance and insurance, and real estate and rental and leasing","        Professional, scientific, and management, and administrative and waste management services","        Educational services, and health care and social assistance","        Arts, entertainment, and recreation, and accommodation and food services","        Other services, except public administration",        Public administration,GDP,Diesel (gal),Gasoline (gal),Liquefied Petroleum Gas (gal equivalent),Compressed Natural Gas (gal equivalent),Bio-Diesel (gal),Other Fuel (gal/gal equivalent),Electric Propulsion (kwh),Electric Battery (kwh),Diesel (miles),Gasoline (miles),Liquefied Petroleum Gas (miles),Compressed Natural Gas (miles),Other Fuel (miles),Electric Propulsion (miles),Electric Battery (miles)
"Abilene, TX",14357.0,39401.0,5.488751131852058,17168.965934999855,0.4357494970939787,2.881451556731908,11912.0,8925.43612,20606.0,433.1474386101136,1.0678402558487987,0.0044647190138794,2.0125234485942585,1.6697902987848998,2.4066968400294804,1.2511422637340779,7.048504742434362,7133.829923834339,532679.00283612,27.9820482395,5.0614236844,89.87223039091417,0.591948486538559,0.2535111291385691,2.201744156568473,0.7681387212898646,6.312427115550373,"54,857","61,414",0.561,0.033,"171,354","71,554","3,169","20,568","25,410","12,267","2,228","5,598","5,219","1,496","9,212","4,445",812,"5,328","5,003","21,134","6,295","4,044","4,989",9448299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Akron, OH",26865.0,70900.0,5.278243067187791,15191.985931000036,0.2142734263892812,2.756895589056393,21200.0,8039.294972000027,36980.0,217.395753704706,1.0562403121295567,0.0150892374256354,11.231302808274206,8.862967412447913,6.351230011170778,3.360943837542104,14.307097335607372,2391.975397565481,2007386.7393773547,167.52808604555003,25.02054581165,89.79236090330416,1.0604207400865189,0.1013936543260808,1.524972182113462,0.6548461227821955,6.866006397387587,"59,313","289,506",0.61,0.0579999999999999,"703,286","315,600","22,517","99,403","110,368","57,218","2,045","21,136","52,804","10,861","42,696","17,816","5,610","21,305","34,973","83,021","32,632","16,613","10,873",42289042.0,498438.0,89147.0,0.0,849308.0,0.0,0.0,0.0,0.0,2619706.0,560570.0,0.0,3166425.0,0.0,0.0,0.0
"Albany, GA",8466.0,22838.0,5.395227970706355,9545.102272000035,0.4179482560644556,2.8374675171273327,6957.0,4989.592978999986,11954.0,417.3994461268183,1.0528330884702628,0.0029278902459427,2.02896526638344,1.6673176657488291,2.2875833893179456,1.19580803777246,6.9795804483505375,4172.570196379139,263831.32031775423,20.83018452565225,4.532439606957801,91.4948112895763,0.9270275629585564,0.1586357326987904,1.7945667261550664,1.384757750016525,4.240200938594752,"46,323","56,120",0.531,0.085,"147,431","65,443","5,307","20,086","18,931","11,796","1,856","3,380","6,052","1,579","7,502","3,482",801,"2,878","4,978","15,223","4,942","3,729","5,113",7309594.0,39176.0,1760.0,0.0,147318.0,0.0,0.0,0.0,0.0,148053.0,12499.0,0.0,439611.0,0.0,0.0,0.0
"Albany-Lebanon, OR",7132.0,17906.0,5.021312394840157,8280.29442999999,0.4624312761085664,2.568143578238923,5101.0,4225.43890999999,9147.0,461.9480605663048,1.150205044188318,0.0054662730950038,1.1933240823336295,0.8534977767784416,1.3854563589641058,0.7069991600858877,7.519704540317961,5976.5826447186655,955233.1995377,98.0240557692,21.2062527474,89.89420182758683,0.1279671250653353,0.5695438242344502,1.9231115837283488,1.2940900816466303,6.191085557738407,"59,547","48,290",0.5529999999999999,0.068,"127,216","50,936","2,266","13,541","17,682","14,801","2,884","4,198","7,720","1,086","6,168","2,828",398,"2,248","4,135","13,943","4,020","3,034","3,670",5671303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Albany-Schenectady-Troy, NY",36977.0,96867.0,5.239310923006193,27872.441864000528,0.2877392906149724,2.755794142304676,30254.0,14555.424690999978,50900.0,285.96119235756345,1.0915652231431503,0.033320235756385,4.962653379926319,4.060364966230112,3.7407379674711865,1.9534718213769116,41.45546560411076,7451.05433911022,878381.4813259091,57.6102337069432,11.738693121229677,85.45881552076241,3.3399137735420923,0.2355343771272975,3.277966870887225,0.8382119355570683,6.849557522123893,"72,810","359,734",0.615,0.047,"880,766","410,107","34,834","126,496","137,688","60,716","2,862","24,722","34,447","9,090","46,331","18,280","7,811","30,577","51,511","121,009","37,259","20,784","44,192",78294954.0,2042304.0,223610.0,0.0,0.0,0.0,0.0,0.0,42126.0,8632669.0,1343264.0,0.0,0.0,0.0,0.0,0.0
"Albuquerque, NM",56267.0,139711.0,4.966001386247712,41850.18760699994,0.2995482646820933,2.720333410347095,43144.0,22270.600903999777,76552.0,290.9212156965171,1.089402586029313,0.0037621486048698,2.336804279112958,1.7917977467796302,1.7380648956176363,0.9249122130357684,75.87954764307965,24078.61047796384,1761226.6318032537,129.53330869815306,22.437731019755,88.43383278710583,1.348909627379934,0.6840658548540564,1.6305131334877507,1.1045489057829636,6.798129691389468,"55,370","357,445",0.5670000000000001,0.059,"915,986","392,001","21,317","120,877","132,930","82,321","5,010","29,855","18,112","8,983","46,775","15,340","6,982","24,441","57,558","109,095","42,648","24,147","29,882",57533723.0,1404572.0,381365.0,0.0,224908.0,792273.0,0.0,0.0,0.0,6161642.0,3268665.0,0.0,989182.0,0.0,0.0,0.0
"Allentown-Bethlehem-Easton, PA-NJ",36264.0,97249.0,5.363390690491948,21698.84959799967,0.22312671182222613,2.8146371056695347,29337.0,11406.213688999991,50956.0,223.84436943637635,1.0714316119452103,0.0053183138393908,9.49654151076619,7.682551243694786,5.682330298457868,2.986972804386112,24.565920185611,3818.6533443662256,1068647.4192261386,101.95521266930587,20.70874130615,88.36915297092288,1.568762923980047,0.1643979262830878,2.4297082488068287,1.121139956291222,6.346837973715933,"69,769","324,239",0.606,0.055,"841,265","350,620","23,579","100,983","124,658","75,019","2,905","23,639","56,876","13,510","46,021","30,458","8,457","21,243","39,760","106,571","34,839","18,649","12,757",51062860.0,677850.0,126382.0,0.0,475045.0,0.0,0.0,0.0,0.0,3865849.0,1128538.0,0.0,1603714.0,0.0,0.0,0.0
"Altoona, PA",7387.0,19256.0,5.213483146067416,4506.170260999963,0.23401382743040933,2.7555164478137266,5646.0,2403.920069999997,10142.0,237.02623447051835,1.0775413867303028,0.0037467955038453,5.408914426464471,4.134118160527739,3.2995112133244713,1.7602000740071024,2.2148948255918604,1365.7084245698636,625936.9126441301,65.1553168863,14.2607317585,91.02399275690355,1.2114078768673608,0.2571299230421005,3.0493435943866003,0.6826618379357176,3.7754640108646447,"50,856","51,647",0.5589999999999999,0.047,"122,495","56,960","4,216","18,408","18,929","10,094",762,"3,983","5,916","2,069","7,923","3,920",707,"1,721","4,158","14,389","5,420","2,822","2,562",7043508.0,12164.0,8943.0,0.0,155442.0,0.0,0.0,0.0,0.0,63458.0,0.0,0.0,508595.0,0.0,0.0,0.0
"Amarillo, TX",17675.0,48852.0,5.527807637906648,20509.683939000097,0.41983304550479195,2.9626025459688825,14816.0,10954.097934000052,26126.0,419.27956571997447,1.0519434263946847,0.0021434586235933,1.3153044190833187,1.1025488131902943,1.5262505187535498,0.815161155284963,20.82193669384014,13437.953787396473,564489.1594074,32.753674043260006,6.298040501120001,93.26981977625172,0.2643711513041235,0.1990843730857271,1.637811522713351,1.1308314795112355,3.4980816971338298,"56,055","97,747",0.615,0.034,"264,345","109,725","5,325","32,152","38,300","21,970","2,968","10,524","13,824","3,524","14,573","7,901","1,346","6,796","10,030","29,745","11,471","6,275","6,526",16545254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Ames, IA",6597.0,19097.0,5.78960133393967,8720.754905000009,0.4566557524742111,3.014855237229044,5597.0,4522.072175000005,9901.0,456.72883294616753,1.03212000087871,0.016058983941016,2.2198482665419794,1.8833546684607332,2.934478195968127,1.521648336948837,7.026282832210185,2971.8247411011707,445255.76544076396,37.0666153032345,5.87637099125,81.13851814893351,4.3766371460646125,1.6418236247973057,5.695709118123986,0.5410377946862917,6.606274167394287,"60,442","48,798",0.627,0.05,"123,736","52,680","3,309","15,407","17,692","12,390","2,152","3,261","6,308","1,508","6,795","2,502","1,337","3,777","5,390","21,939","5,526","2,339","2,740",8884378.0,309731.0,16010.0,0.0,0.0,11882.0,0.0,0.0,0.0,1318565.0,71276.0,0.0,0.0,0.0,0.0,0.0
