MSA,Cooling Degree Days
"Abilene, TX",7149
"Akron, OH",1646
"Albany, GA",10187
"Albany-Lebanon, OR",163
"Albany-Schenectady-Troy, NY",2647
"Albuquerque, NM",3755
"Allentown-Bethlehem-Easton, PA-NJ",2923
"Altoona, PA",662
"Amarillo, TX",8846
"Ames, IA",1883
"Ann Arbor, MI",683
"Anniston-Oxford, AL",1798
"Appleton, WI",1210
"Asheville, NC",2437
"Athens-Clarke County, GA",7197
"Atlanta-Sandy Springs-Alpharetta, GA",49712
"Atlantic City-Hammonton, NJ",1155
"Auburn-Opelika, AL",1936
"Augusta-Richmond County, GA-SC",15188
"Austin-Round Rock-Georgetown, TX",15302
"Bakersfield, CA",2036
"Baltimore-Columbia-Towson, MD",7310
"Bangor, ME",310
"Barnstable Town, MA",656
"Battle Creek, MI",710
"Bay City, MI",709
"Beaumont-Port Arthur, TX",8970
"Beckley, WV",1357
"Bellingham, WA",33
"Bend, OR",140
"Billings, MT",1126
"Binghamton, NY",1003
"Birmingham-Hoover, AL",11388
"Bismarck, ND",1734
"Blacksburg-Christiansburg, VA",2188
"Bloomington, IL",974
"Bloomington, IN",1952
"Bloomsburg-Berwick, PA",1484
"Boise City, ID",2818
"Boston-Cambridge-Newton, MA-NH",4876
"Boulder, CO",239
"Bowling Green, KY",5531
"Bremerton-Silverdale-Port Orchard, WA",181
"Bridgeport-Stamford-Norwalk, CT",866
"Brownsville-Harlingen, TX",4558
"Brunswick, GA",8521
"Buffalo-Cheektowaga, NY",1278
"Burlington, NC",1367
"Burlington-South Burlington, VT",1419
"Canton-Massillon, OH",1625
"Cape Coral-Fort Myers, FL",4457
"Cape Girardeau, MO-IL",4142
"Carbondale-Marion, IL",3893
"Carson City, NV",634
"Casper, WY",440
"Cedar Rapids, IA",2323
"Chambersburg-Waynesboro, PA",934
"Champaign-Urbana, IL",1989
"Charleston, WV",5344
"Charleston-North Charleston, SC",7281
"Charlotte-Concord-Gastonia, NC-SC",17071
"Charlottesville, VA",4515
"Chattanooga, TN-GA",8758
"Cheyenne, WY",492
"Chicago-Naperville-Elgin, IL-IN-WI",12388
"Chico, CA",1730
"Cincinnati, OH-KY-IN",17479
"Clarksville, TN-KY",5887
"Cleveland, TN",2926
"Cleveland-Elyria, OH",3746
"Coeur d'Alene, ID",223
"College Station-Bryan, TX",8641
"Colorado Springs, CO",657
"Columbia, MO",3782
"Columbia, SC",11506
"Columbus, GA-AL",14514
"Columbus, IN",1002
"Columbus, OH",9064
"Corpus Christi, TX",7933
"Corvallis, OR",293
"Crestview-Fort Walton Beach-Destin, FL",5581
