MSA,carbon dioxide equivalent (Ton)
"Abilene, TX",1604660.5749001761
"Akron, OH",4038062.128360731
"Albany, GA",1062810.9677350759
"Albany-Lebanon, OR",964003.2642506552
"Albany-Schenectady-Troy, NY",4416599.338593545
"Albuquerque, NM",7084605.633458377
"Alexandria, LA",1109446.481110743
"Allentown-Bethlehem-Easton, PA-NJ",4309470.017808417
"Altoona, PA",631815.4936303205
"Amarillo, TX",2835924.0866390765
"Ames, IA",895867.1787574748
"Ann Arbor, MI",1782390.5919604758
"Anniston-Oxford, AL",834885.4805079389
"Appleton, WI",1403964.3269223426
"Asheville, NC",2882633.029903809
"Athens-Clarke County, GA",1244162.534546942
"Atlanta-Sandy Springs-Alpharetta, GA",37835772.79788506
"Atlantic City-Hammonton, NJ",1311634.544169578
"Auburn-Opelika, AL",1129843.922483407
"Augusta-Richmond County, GA-SC",3970996.1926719686
"Austin-Round Rock-Georgetown, TX",10346328.444829453
"Bakersfield, CA",6430136.48421314
"Baltimore-Columbia-Towson, MD",15517952.728114389
"Bangor, ME",964842.9606018522
"Barnstable Town, MA",1538387.6785518196
"Baton Rouge, LA",5844149.671495071
"Battle Creek, MI",841694.4197542989
"Bay City, MI",660458.3765044638
"Beaumont-Port Arthur, TX",3135966.638485827
"Beckley, WV",820800.1604110488
"Bellingham, WA",1026685.2586261396
"Bend, OR",894396.4505557624
"Billings, MT",1353509.7486050376
"Binghamton, NY",1486572.1965305689
"Birmingham-Hoover, AL",9349932.825334746
"Bismarck, ND",1218157.9597231387
"Blacksburg-Christiansburg, VA",1187764.870814262
"Bloomington, IL",1123140.6168910784
"Bloomington, IN",923947.2967915039
"Bloomsburg-Berwick, PA",617077.7008696746
"Boise City, ID",3942092.9659389188
"Boston-Cambridge-Newton, MA-NH",21426826.911790576
"Boulder, CO",1354386.246308422
"Bowling Green, KY",1294487.1764805464
"Bremerton-Silverdale-Port Orchard, WA",1115215.4234897206
"Bridgeport-Stamford-Norwalk, CT",4288005.683933286
"Brownsville-Harlingen, TX",1879781.2730300606
"Brunswick, GA",1289922.8354348955
"Buffalo-Cheektowaga, NY",4532195.980539998
"Burlington, NC",880557.235634109
"Burlington-South Burlington, VT",1413251.2262315524
"Canton-Massillon, OH",1967615.9368571693
"Cape Coral-Fort Myers, FL",4298032.77323271
"Cape Girardeau, MO-IL",791276.5457204792
"Carbondale-Marion, IL",977287.5390995815
"Casper, WY",701361.9122180195
"Cedar Rapids, IA",1645731.070174681
"Chambersburg-Waynesboro, PA",1026387.4801730511
"Champaign-Urbana, IL",1388395.1050963625
"Charleston, WV",1823620.4576208114
"Charleston-North Charleston, SC",4918273.925664094
"Charlotte-Concord-Gastonia, NC-SC",14931532.474382542
"Charlottesville, VA",1025886.4419193983
"Chattanooga, TN-GA",4139761.0562270475
"Cheyenne, WY",1136385.8255215972
"Chicago-Naperville-Elgin, IL-IN-WI",40980549.65569579
"Chico, CA",1182906.411493933
"Cincinnati, OH-KY-IN",12649734.999333076
"Clarksville, TN-KY",1969252.7589606238
"Cleveland, TN",877035.4880833309
"Cleveland-Elyria, OH",11820272.805666126
"Coeur d'Alene, ID",1176300.7593652534
"College Station-Bryan, TX",1649311.056294602
"Colorado Springs, CO",3285440.094249908
"Columbia, MO",1582240.0760984065
"Columbia, SC",5665376.396077969
"Columbus, GA-AL",2120896.148123374
"Columbus, IN",740583.3571596034
"Columbus, OH",11589732.138499467
"Corpus Christi, TX",2921837.5507683493
"Corvallis, OR",329860.6056229733
"Crestview-Fort Walton Beach-Destin, FL",2362767.1846808456
"Cumberland, MD-WV",520754.66862978495
"Dallas-Fort Worth-Arlington, TX",38204710.00118769
"Dalton, GA",1061740.1437742747
"Danville, IL",482972.0362540467
"Daphne-Fairhope-Foley, AL",2315857.783419413
"Davenport-Moline-Rock Island, IA-IL",2329666.8033855543
"Dayton-Kettering, OH",4377318.066970199
"Decatur, AL",1294009.2443272197
"Decatur, IL",651943.806584426
"Deltona-Daytona Beach-Ormond Beach, FL",4425488.9855692815
"Denver-Aurora-Lakewood, CO",14495772.672896044
"Des Moines-West Des Moines, IA",4088529.770387808
"Detroit-Warren-Dearborn, MI",18917099.16528697
"Dothan, AL",1124120.9934758712
"Dover, DE",950853.7604724403
"Dubuque, IA",557605.750148929
"Duluth, MN-WI",2448351.345890246
"Durham-Chapel Hill, NC",3743190.363173097
"East Stroudsburg, PA",896245.4490151276
"Eau Claire, WI",1432226.6320035772
"El Centro, CA",1793825.9691457024
"El Paso, TX",4947508.87014586
"Elizabethtown-Fort Knox, KY",1136909.2733702308
"Elkhart-Goshen, IN",1567675.9489934319
"Elmira, NY",471807.54172795493
"Enid, OK",377022.8949831812
"Erie, PA",1287874.6274319247
"Eugene-Springfield, OR",2086733.7135559
"Evansville, IN-KY",2465691.9358452316
"Fargo, ND-MN",2148169.334955487
"Farmington, NM",872962.6770249198
"Fayetteville, NC",2490478.241985961
"Fayetteville-Springdale-Rogers, AR",2843857.973036241
"Flagstaff, AZ",2041044.2565414663
"Flint, MI",1956564.389361627
"Florence, SC",1516722.746670568
"Florence-Muscle Shoals, AL",1073891.7739806394
"Fond du Lac, WI",843625.7986140754
"Fort Collins, CO",1774168.3781634981
"Fort Smith, AR-OK",2045752.313408168
"Fort Wayne, IN",2961274.4008522346
"Fresno, CA",5765649.957900513
