MSA,Carbon Dioxide,Methane,Nitrous Oxide
,CO2,CH4,N2O
"Abilene, TX",532679.00283612,27.9820482395,5.0614236844
"Akron, OH",2007386.7393773547,167.52808604555003,25.02054581165
"Albany, GA",263831.32031775423,20.83018452565225,4.532439606957801
"Albany-Lebanon, OR",955233.1995377,98.0240557692,21.2062527474
"Albany-Schenectady-Troy, NY",878381.4813259091,57.6102337069432,11.738693121229677
"Albuquerque, NM",1761226.6318032537,129.53330869815306,22.437731019755
"Alexandria, LA",551635.9957987155,36.0472839157665,7.3357807341
"Allentown-Bethlehem-Easton, PA-NJ",1068647.4192261386,101.95521266930587,20.70874130615
"Altoona, PA",625936.9126441301,65.1553168863,14.2607317585
"Amarillo, TX",564489.1594074,32.753674043260006,6.298040501120001
"Ames, IA",445255.76544076396,37.0666153032345,5.87637099125
"Ann Arbor, MI",1772430.93598574,131.09946233885998,22.4233873029
"Anniston-Oxford, AL",828713.50013185,77.64011208769999,14.1979113218
"Appleton, WI",697640.772284768,68.42413655455,8.828146854159499
"Asheville, NC",714389.9452799268,74.60151526277551,14.776088303544249
"Athens-Clarke County, GA",308679.42754022096,25.632491377691075,5.773133597557777
"Atlanta-Sandy Springs-Alpharetta, GA",1296593.2475849036,97.80218504219876,18.937981227408414
"Atlantic City-Hammonton, NJ",1303599.1996146801,121.0468342653,16.8093077123
"Auburn-Opelika, AL",1123487.97593438,68.0120362694,15.622971954
"Augusta-Richmond County, GA-SC",563231.1102350493,47.08811511087357,9.653883452646571
"Austin-Round Rock-Georgetown, TX",2057588.8001488,132.14833251674,28.097921154939996
"Bakersfield, CA",6398810.2863844,168.0524482195,91.023109474
"Baltimore-Columbia-Towson, MD",3085013.5210580346,228.30811063503,43.185643620696396
"Bangor, ME",959459.23616652,80.3198021763,11.327950942700001
"Barnstable Town, MA",1528388.48148904,173.7943299745582,18.974291320187
"Baton Rouge, LA",581546.3184107124,31.387427867913733,6.993164570794799
"Battle Creek, MI",837131.2675415201,57.434377007500004,10.4942710993
"Bay City, MI",656686.090037189,46.899405221756105,8.7241655595
"Beaumont-Port Arthur, TX",1040863.2717243194,56.8101211131,10.1969398539
"Beckley, WV",408045.5530151195,28.2303762616515,5.5327777982
"Bellingham, WA",1017067.814491978,108.2494664966,23.1919713817
"Bend, OR",880151.88511571,143.8857273276,35.7296048888
"Billings, MT",447200.235459188,48.09830431907833,9.285983672866665
"Binghamton, NY",739479.646148745,50.301805704452,8.5533791071415
"Birmingham-Hoover, AL",1548987.9721931417,122.82899862027033,21.01825636625
"Bismarck, ND",403736.659341024,32.404799660836666,5.053268149333333
"Blacksburg-Christiansburg, VA",393754.589491568,25.590406810272,5.1250803454
"Bloomington, IL",1115636.31058864,84.9612112055,18.0546175245
"Bloomington, IN",459149.74676122004,38.690829639428,6.230305011899999
"Bloomsburg-Berwick, PA",306371.7303709675,25.75827078944605,5.111286221925
"Boise City, ID",781925.1590361818,93.6383556292678,13.934480741175202
"Boston-Cambridge-Newton, MA-NH",3041779.842122637,242.8853354652139,44.037911421718285
"Boulder, CO",1342979.46793222,161.1863942537,24.755431274696
"Bowling Green, KY",321902.47608574876,20.7132866362875,4.031831773425
"Bremerton-Silverdale-Port Orchard, WA",1104276.75358511,121.535114846586,26.511047092099997
"Bridgeport-Stamford-Norwalk, CT",4258834.3812833,386.6483978928,65.453331217
"Brownsville-Harlingen, TX",1866858.85503107,154.9916488535,30.3611636834
"Brunswick, GA",427524.4616878783,40.488457892532665,4.824179003714266
"Buffalo-Cheektowaga, NY",2249995.29205232,232.193859078998,34.55654946545
"Burlington, NC",873137.58122772,85.43781505275899,17.730567215
"Burlington-South Burlington, VT",468376.8350168673,44.57730479874534,5.343873960899999
"Canton-Massillon, OH",976369.5053178221,103.8613778157341,16.2480827696955
"Cape Coral-Fort Myers, FL",4273330.3649160005,374.2225233454,51.4994806479
"Cape Girardeau, MO-IL",262231.406221318,19.95852440700767,3.451272624160666
"Carbondale-Marion, IL",323837.8801022503,24.68503480049833,4.387607587017
"Casper, WY",696521.44751558,63.485748333100005,10.917184544
"Cedar Rapids, IA",544724.6091789304,51.530770718173336,8.604513237166667
"Chambersburg-Waynesboro, PA",1018770.8103441,82.065453239135,18.6746090536
"Champaign-Urbana, IL",690517.3866182155,46.449710907988496,8.452762272705
"Charleston, WV",362691.74990229995,28.547796533989242,4.42498895474
"Charleston-North Charleston, SC",1628729.3703416067,145.89844972183332,23.65037014556667
"Charlotte-Concord-Gastonia, NC-SC",1348198.8167770703,108.71350862338508,21.796606151109764
"Charlottesville, VA",254615.84567006,20.711231115462,4.489879301688
"Chattanooga, TN-GA",685844.5767690877,46.159997153232666,9.938252818532833
"Cheyenne, WY",1129715.07252752,77.5699581079,15.8775303402
"Chicago-Naperville-Elgin, IL-IN-WI",2907029.672379157,281.2324437390963,44.03233151459764
"Chico, CA",1177009.4571366,39.2708038999,16.4939069122
"Cincinnati, OH-KY-IN",785483.4437495925,68.9340248476117,11.414909689713125
"Clarksville, TN-KY",489389.96242911357,34.861983316083,6.884824591075
"Cleveland, TN",435397.903251989,34.0927242478,7.60913652175
"Cleveland-Elyria, OH",2350188.090932103,207.19861390551895,29.14934514592
"Coeur d'Alene, ID",1166913.8376416499,113.1082245243,22.0107923171
"College Station-Bryan, TX",547052.31467706,31.935013634533334,6.441819061333334
"Colorado Springs, CO",1629265.921910047,161.9193043593135,31.564236932631502
"Columbia, MO",524605.9086857407,35.43745514453167,6.4480323326
"Columbia, SC",937897.2740377208,77.19477347840517,14.772671045796182
"Columbus, GA-AL",300984.7804043764,22.736773179324427,4.805249274380301
"Columbus, IN",737018.8638595999,49.1781287277,7.835704972519999
"Columbus, OH",1151632.2042465028,97.10453510419413,16.487906798117898
"Corpus Christi, TX",1453865.6612557499,97.9471089148,15.4511288777
"Corvallis, OR",324902.41092530004,61.4388864015,11.4839682471
