msa,n,m,k_avg,edge_length_total,edge_length_avg,streets_per_node_avg,intersection_count,street_length_total,street_segment_count,street_length_avg,circuity_avg,self_loop_proportion,node_density_km,intersection_density_km,edge_density_km,street_density_km,builing_area_sqkm,area_sqkm,MSA,Carbon Dioxide,Methane,Nitrous Oxide,_merge
"Abilene, TX",14357,39401,5.488751131852058,17168.965934999855,0.4357494970939787,2.881451556731908,11912,8925.43612,20606,433.1474386101136,1.0678402558487987,0.0044647190138794,2.0125234485942585,1.6697902987848998,2.4066968400294804,1.2511422637340779,7.048504742434362,7133.829923834339,"Abilene, TX",532679.00283612,27.9820482395,5.0614236844,both
"Albany, GA",8466,22838,5.395227970706355,9545.102272000035,0.4179482560644556,2.8374675171273327,6957,4989.592978999986,11954,417.3994461268183,1.0528330884702628,0.0029278902459427,2.02896526638344,1.6673176657488291,2.2875833893179456,1.19580803777246,6.9795804483505375,4172.570196379139,"Albany, GA",263831.32031775423,20.83018452565225,4.532439606957801,both
"Akron, OH",26865,70900,5.278243067187791,15191.985931000036,0.2142734263892812,2.756895589056393,21200,8039.294972000027,36980,217.395753704706,1.0562403121295567,0.0150892374256354,11.231302808274206,8.862967412447913,6.351230011170778,3.360943837542104,14.307097335607372,2391.975397565481,"Akron, OH",2007386.7393773547,167.52808604555003,25.02054581165,both
"Albany-Lebanon, OR",7132,17906,5.021312394840157,8280.29442999999,0.4624312761085664,2.568143578238923,5101,4225.43890999999,9147,461.9480605663048,1.150205044188318,0.0054662730950038,1.1933240823336295,0.8534977767784416,1.3854563589641058,0.7069991600858877,7.519704540317961,5976.5826447186655,"Albany-Lebanon, OR",955233.1995377,98.0240557692,21.2062527474,both
"Albany-Schenectady-Troy, NY",36977,96867,5.239310923006193,27872.441864000528,0.2877392906149724,2.755794142304676,30254,14555.424690999978,50900,285.96119235756345,1.0915652231431503,0.033320235756385,4.962653379926319,4.060364966230112,3.7407379674711865,1.9534718213769116,41.45546560411076,7451.05433911022,"Albany-Schenectady-Troy, NY",878381.4813259091,57.6102337069432,11.738693121229677,both
"Albuquerque, NM",56267,139711,4.966001386247712,41850.18760699994,0.2995482646820933,2.720333410347095,43144,22270.600903999777,76552,290.9212156965171,1.089402586029313,0.0037621486048698,2.336804279112958,1.7917977467796302,1.7380648956176363,0.9249122130357684,75.87954764307965,24078.61047796384,"Albuquerque, NM",1761226.6318032537,129.53330869815306,22.437731019755,both
"Altoona, PA",7387,19256,5.213483146067416,4506.170260999963,0.23401382743040933,2.7555164478137266,5646,2403.920069999997,10142,237.02623447051835,1.0775413867303028,0.0037467955038453,5.408914426464471,4.134118160527739,3.2995112133244713,1.7602000740071024,2.2148948255918604,1365.7084245698636,"Altoona, PA",625936.9126441301,65.1553168863,14.2607317585,both
"Allentown-Bethlehem-Easton, PA-NJ",36264,97249,5.363390690491948,21698.84959799967,0.22312671182222613,2.8146371056695347,29337,11406.213688999991,50956,223.84436943637635,1.0714316119452103,0.0053183138393908,9.49654151076619,7.682551243694786,5.682330298457868,2.986972804386112,24.565920185611,3818.6533443662256,"Allentown-Bethlehem-Easton, PA-NJ",1068647.4192261386,101.95521266930587,20.70874130615,both
"Ames, IA",6597,19097,5.78960133393967,8720.754905000009,0.4566557524742111,3.014855237229044,5597,4522.072175000005,9901,456.72883294616753,1.03212000087871,0.016058983941016,2.2198482665419794,1.8833546684607332,2.934478195968127,1.521648336948837,7.026282832210185,2971.8247411011707,"Ames, IA",445255.76544076396,37.0666153032345,5.87637099125,both
"Ann Arbor, MI",12496,31721,5.076984635083226,8388.334793999938,0.2644410577850616,2.7586427656850194,10159,4447.092615000017,17167,259.0489086619687,1.0600540481770675,0.0184656608609541,6.6750450166501984,5.42667912325139,4.480834856328646,2.37552363943164,20.446091597870257,1872.0472998803812,"Ann Arbor, MI",1772430.93598574,131.09946233885998,22.4233873029,both
"Anniston-Oxford, AL",10739,27487,5.119098612533755,6447.8815099999565,0.2345793105831832,2.646615141074588,8080,3334.313133000012,14184,235.0756579949247,1.0796032509137057,0.0071912013536379,6.769308928804128,5.093213161815565,4.064410268881064,2.1017781602240286,1.6748064439185255,1586.4248644798015,"Anniston-Oxford, AL",828713.50013185,77.64011208769999,14.1979113218,both
"Appleton, WI",11584,30380,5.245165745856354,9483.610090000046,0.31216623074391203,2.843232044198895,9387,4909.793807000009,16384,299.6700321655279,1.0479884715953112,0.005615234375,4.298777925134903,3.4834796601555023,3.5193312936359495,1.8220056314309132,33.44992959305511,2694.719336923289,"Appleton, WI",697640.772284768,68.42413655455,8.828146854159499,both
"Amarillo, TX",17675,48852,5.527807637906648,20509.683939000097,0.41983304550479195,2.9626025459688825,14816,10954.097934000052,26126,419.27956571997447,1.0519434263946847,0.0021434586235933,1.3153044190833187,1.1025488131902943,1.5262505187535498,0.815161155284963,20.82193669384014,13437.953787396473,"Amarillo, TX",564489.1594074,32.753674043260006,6.298040501120001,both
"Athens-Clarke County, GA",11515,28029,4.868258792878854,9397.343400999916,0.33527216101180624,2.583673469387755,8571,4873.670081000014,14839,328.4365577869138,1.0861214025469257,0.0093672080328863,4.306523094756635,3.205489313517943,3.514535508967868,1.8227158280547981,16.278567026702095,2673.8507484192937,"Athens-Clarke County, GA",308679.42754022096,25.632491377691075,5.773133597557777,both
"Asheville, NC",39255,88100,4.488600178321233,23134.697787000045,0.26259588861521055,2.301439307094637,24634,11965.018655000024,45156,264.9707382186204,1.1947501884902387,0.0079945079280715,7.427420555337016,4.660987847667101,4.377305563232045,2.263895694895887,10.784282521444371,5285.145725563243,"Asheville, NC",714389.9452799268,74.60151526277551,14.776088303544249,both
"Atlantic City-Hammonton, NJ",12717,33807,5.316820004718094,6918.526678000042,0.2046477557310629,2.897538727687348,10507,3732.094506999977,18410,202.72104872351852,1.0510002610571572,0.0106463878326996,7.221586111836102,5.966596310219543,3.9288146710869447,2.119339613101426,5.7773978524866125,1760.970485300587,"Atlantic City-Hammonton, NJ",1303599.1996146801,121.0468342653,16.8093077123,both
"Auburn-Opelika, AL",9142,21769,4.7624152264274775,5782.902417000012,0.2656485101290832,2.4784511047910742,6326,3006.1225040000027,11301,266.00499991151247,1.0777767976921095,0.0125652597115299,5.712743193802098,3.9530533191853054,3.613677141012746,1.8784955014724718,4.330159621106172,1600.2819818539,"Auburn-Opelika, AL",1123487.97593438,68.0120362694,15.622971954,both
"Augusta-Richmond County, GA-SC",37974,94149,4.958603254858588,30318.880458000058,0.32203082834655766,2.6260336019381683,28632,15798.563057000027,49810,317.17653196145403,1.083787966107795,0.0089540252961252,4.09306863524814,3.08613106768907,3.2679533011660027,1.702865195412566,31.32629074635549,9277.635775022338,"Augusta-Richmond County, GA-SC",563231.1102350493,47.08811511087357,9.653883452646571,both
"Austin-Round Rock-Georgetown, TX",87049,214823,4.935679904421647,47402.74931599899,0.22065956306354065,2.704901836896461,67750,25931.301052000323,117895,219.9525090292236,1.0787937397568508,0.0038763306331905,7.855598299273483,6.113990795710215,4.277785579474192,2.340128943951595,152.28661676244275,11081.141968276386,"Austin-Round Rock-Georgetown, TX",2057588.8001488,132.14833251674,28.097921154939996,both
"Bakersfield, CA",41727,108328,5.192225657248304,35767.63507700043,0.3301790402942954,2.744002684113404,32222,18978.06701999985,57222,331.6568281430193,1.0763729852558854,0.0028485547516689,1.9747034222298163,1.5248854140266288,1.6926803123066594,0.8981248086778468,54.93725626128381,21130.76805877121,"Bakersfield, CA",6398810.2863844,168.0524482195,91.023109474,both
"Atlanta-Sandy Springs-Alpharetta, GA",250655,575914,4.5952723863477685,128448.50305699986,0.22303417360404482,2.477213700105723,173864,68248.98479499905,310903,219.51857909058143,1.0890812833215182,0.0084174163645895,10.945396980942135,7.592150568289178,5.608983892468226,2.9802406978817433,445.2676842524541,22900.494192804013,"Atlanta-Sandy Springs-Alpharetta, GA",1296593.2475849036,97.80218504219876,18.937981227408414,both
"Bangor, ME",9041,21349,4.7227076650812965,11606.909526999958,0.5436746230268377,2.4425395420860525,6178,6016.3683480000045,11001,546.8928595582224,1.09022333741624,0.0149077356603945,0.9821397226968388,0.6711269999802091,1.260878985091808,0.6535686694996973,10.063578935071568,9205.411196662008,"Bangor, ME",959459.23616652,80.3198021763,11.327950942700001,both
"Barnstable Town, MA",23380,59937,5.127202737382378,9525.890585000052,0.15893172139079456,2.653421727972626,18474,4922.310030000028,31060,158.4774639407607,1.120357534377341,0.0584352865421764,8.34070988676913,6.590516443463341,3.3983186391185165,1.756011973180671,29.236382332577,2803.1187173993067,"Barnstable Town, MA",1528388.48148904,173.7943299745582,18.974291320187,both
"Battle Creek, MI",6826,18810,5.511280398476414,6619.370204000018,0.35190697522594455,2.848666861998242,5621,3439.490942000014,9661,356.0181080633489,1.042991410343491,0.0067280819790911,3.669016105001818,3.0213213486983914,3.5579513453626186,1.848747093349828,2.746272716522151,1860.4442729739987,"Battle Creek, MI",837131.2675415201,57.434377007500004,10.4942710993,both
"Bay City, MI",4978,13969,5.61229409401366,4711.197509999991,0.33726089984966645,2.904379268782644,3969,2461.8239550000076,7179,342.9201776013383,1.0299771884450994,0.0061289873241398,4.240714915161481,3.3811565886452226,4.013428193838608,2.0972064211471197,1.1113924281334322,1173.8586770364034,"Bay City, MI",656686.090037189,46.899405221756105,8.7241655595,both
"Beaumont-Port Arthur, TX",28576,72659,5.085316349384098,19188.755617000137,0.2640933073260041,2.69138437849944,21535,10114.921832000005,38424,263.2448946491777,1.07307018788266,0.0045544451384551,4.210608380374783,3.173133100201951,2.827419345251416,1.4904106464394975,11.70227902745086,6786.667725545274,"Beaumont-Port Arthur, TX",1040863.2717243194,56.8101211131,10.1969398539,both
"Beckley, WV",10967,25596,4.6678216467584575,8739.234813000096,0.3414297082747342,2.387435032369837,7252,4548.089799000002,13054,348.405837214647,1.1807730435381223,0.0062815995097288,3.315569563731801,2.192441914487373,2.6420662857926955,1.3749893417236698,1.6899177748644525,3307.727311761247,"Beckley, WV",408045.5530151195,28.2303762616515,5.5327777982,both
"Bellingham, WA",9509,23068,4.851824587233147,6308.88512599995,0.273490771891796,2.5352823640761386,6590,3262.893231999994,12058,270.5998699618505,1.095053618684618,0.0080444518162215,1.467396782245734,1.0169465553685335,0.9735658569197916,0.5035186696233226,9.72430986936795,6480.183216326283,"Bellingham, WA",1017067.814491978,108.2494664966,23.1919713817,both
"Bend, OR",12623,32310,5.119226808207241,9682.531407999932,0.29967599529557204,2.6916739285431355,9764,4949.627793999989,17008,291.0176266462835,1.1069313693630525,0.029574317968015,1.5961814690569656,1.2346602126176196,1.224358489028879,0.6258816575704738,14.779974804385038,7908.248682687534,"Bend, OR",880151.88511571,143.8857273276,35.7296048888,both
"Billings, MT",13038,33362,5.1176560822212,16933.092497999933,0.5075562765421717,2.6675870532290227,9776,8766.506810000035,17353,505.1868155362206,1.0996543066764728,0.0040915115541981,0.772427427237835,0.579172459631621,1.0031895285634584,0.5193657233556748,17.541709356325928,16879.25563003801,"Billings, MT",447200.235459188,48.09830431907833,9.285983672866665,both
"Binghamton, NY",10477,26912,5.137348477617639,10415.024979999964,0.38700300906658613,2.6803474276987687,8245,5483.928640000017,13961,392.80342668863386,1.0716749194213036,0.0052288518014468,3.268159337759143,2.5719169361290577,3.248827063222451,1.7106378345347766,8.83843013998542,3205.780048405992,"Binghamton, NY",739479.646148745,50.301805704452,8.5533791071415,both
"Baltimore-Columbia-Towson, MD",91320,218780,4.791502409110819,42454.62483899869,0.19405167217752395,2.663250109505037,68878,23469.613137000128,121763,192.74831547350288,1.0814034828480072,0.0195543802304476,11.327782353172497,8.543966194938845,5.2662806620868166,2.91128635051572,151.80662617506303,8061.595566799057,"Baltimore-Columbia-Towson, MD",3085013.5210580346,228.30811063503,43.185643620696396,both
"Bismarck, ND",6859,19081,5.56378480828109,12557.89011899997,0.6581358481735744,2.9026097098702435,5742,6520.616621000009,9904,658.3821305533128,1.0617589804335392,0.002827140549273,0.6095733935912887,0.5103033133111503,1.1160454433861096,0.5795005688833268,10.456106027305044,11252.131526919748,"Bismarck, ND",403736.659341024,32.404799660836666,5.053268149333333,both
