msa,Node count,Edge count,Degree average,Edge length total (km),Edge length average (km),Streets per node average,Intersection count,Street length total (km),Street segment count,Street length average (km),Circuity average,Self-loop proportion,Node density (per sq km),Intersection density (per sq km),Edge density (km/sq km),Street density (km/sq km),Building area (sq km),Area (sq km),Carbon Dioxide (Ton),Methane (Ton),Nitrous Oxide (Ton),"    Car, truck, or van:",    Public transportation (excluding taxicab):,    Bicycle,    Walked,"    Taxicab, motorcycle, or other means",    Worked from home,Median Income,Employment Rate,Unemployment Rate,    Total population,Total housing units
"Abilene, TX",14357,39401,5.488751131852058,17168.965934999855,0.4357494970939787,2.881451556731908,11912,8925.43612,20606,433.1474386101136,1.0678402558487987,0.0044647190138794,2.0125234485942585,1.6697902987848998,2.4066968400294804,1.2511422637340779,7.048504742434362,7133.829923834339,532679.00283612,27.9820482395,5.0614236844,89.87223039091417,0.591948486538559,0.2535111291385691,2.201744156568473,0.7681387212898646,6.312427115550373,"54,857",0.561,0.033,"171,354","71,554"
"Albany, GA",8466,22838,5.395227970706355,9545.102272000035,0.4179482560644556,2.8374675171273327,6957,4989.592978999986,11954,417.3994461268183,1.0528330884702628,0.0029278902459427,2.02896526638344,1.6673176657488291,2.2875833893179456,1.19580803777246,6.9795804483505375,4172.570196379139,263831.32031775423,20.83018452565225,4.532439606957801,91.4948112895763,0.9270275629585564,0.1586357326987904,1.7945667261550664,1.384757750016525,4.240200938594752,"46,323",0.531,0.085,"147,431","65,443"
"Akron, OH",26865,70900,5.278243067187791,15191.985931000036,0.2142734263892812,2.756895589056393,21200,8039.294972000027,36980,217.395753704706,1.0562403121295567,0.0150892374256354,11.231302808274206,8.862967412447913,6.351230011170778,3.360943837542104,14.307097335607372,2391.975397565481,2007386.7393773547,167.52808604555003,25.02054581165,89.79236090330416,1.0604207400865189,0.1013936543260808,1.524972182113462,0.6548461227821955,6.866006397387587,"59,313",0.61,0.0579999999999999,"703,286","315,600"
"Albany-Lebanon, OR",7132,17906,5.021312394840157,8280.29442999999,0.4624312761085664,2.568143578238923,5101,4225.43890999999,9147,461.9480605663048,1.150205044188318,0.0054662730950038,1.1933240823336295,0.8534977767784416,1.3854563589641058,0.7069991600858877,7.519704540317961,5976.5826447186655,955233.1995377,98.0240557692,21.2062527474,89.89420182758683,0.1279671250653353,0.5695438242344502,1.9231115837283488,1.2940900816466303,6.191085557738407,"59,547",0.5529999999999999,0.068,"127,216","50,936"
"Albany-Schenectady-Troy, NY",36977,96867,5.239310923006193,27872.441864000528,0.2877392906149724,2.755794142304676,30254,14555.424690999978,50900,285.96119235756345,1.0915652231431503,0.033320235756385,4.962653379926319,4.060364966230112,3.7407379674711865,1.9534718213769116,41.45546560411076,7451.05433911022,878381.4813259091,57.6102337069432,11.738693121229677,85.45881552076241,3.3399137735420923,0.2355343771272975,3.277966870887225,0.8382119355570683,6.849557522123893,"72,810",0.615,0.047,"880,766","410,107"
"Albuquerque, NM",56267,139711,4.966001386247712,41850.18760699994,0.2995482646820933,2.720333410347095,43144,22270.600903999777,76552,290.9212156965171,1.089402586029313,0.0037621486048698,2.336804279112958,1.7917977467796302,1.7380648956176363,0.9249122130357684,75.87954764307965,24078.61047796384,1761226.6318032537,129.53330869815306,22.437731019755,88.43383278710583,1.348909627379934,0.6840658548540564,1.6305131334877507,1.1045489057829636,6.798129691389468,"55,370",0.5670000000000001,0.059,"915,986","392,001"
"Altoona, PA",7387,19256,5.213483146067416,4506.170260999963,0.23401382743040933,2.7555164478137266,5646,2403.920069999997,10142,237.02623447051835,1.0775413867303028,0.0037467955038453,5.408914426464471,4.134118160527739,3.2995112133244713,1.7602000740071024,2.2148948255918604,1365.7084245698636,625936.9126441301,65.1553168863,14.2607317585,91.02399275690355,1.2114078768673608,0.2571299230421005,3.0493435943866003,0.6826618379357176,3.7754640108646447,"50,856",0.5589999999999999,0.047,"122,495","56,960"
"Allentown-Bethlehem-Easton, PA-NJ",36264,97249,5.363390690491948,21698.84959799967,0.22312671182222613,2.8146371056695347,29337,11406.213688999991,50956,223.84436943637635,1.0714316119452103,0.0053183138393908,9.49654151076619,7.682551243694786,5.682330298457868,2.986972804386112,24.565920185611,3818.6533443662256,1068647.4192261386,101.95521266930587,20.70874130615,88.36915297092288,1.568762923980047,0.1643979262830878,2.4297082488068287,1.121139956291222,6.346837973715933,"69,769",0.606,0.055,"841,265","350,620"
"Ames, IA",6597,19097,5.78960133393967,8720.754905000009,0.4566557524742111,3.014855237229044,5597,4522.072175000005,9901,456.72883294616753,1.03212000087871,0.016058983941016,2.2198482665419794,1.8833546684607332,2.934478195968127,1.521648336948837,7.026282832210185,2971.8247411011707,445255.76544076396,37.0666153032345,5.87637099125,81.13851814893351,4.3766371460646125,1.6418236247973057,5.695709118123986,0.5410377946862917,6.606274167394287,"60,442",0.627,0.05,"123,736","52,680"
"Ann Arbor, MI",12496,31721,5.076984635083226,8388.334793999938,0.2644410577850616,2.7586427656850194,10159,4447.092615000017,17167,259.0489086619687,1.0600540481770675,0.0184656608609541,6.6750450166501984,5.42667912325139,4.480834856328646,2.37552363943164,20.446091597870257,1872.0472998803812,1772430.93598574,131.09946233885998,22.4233873029,76.68943089430894,4.684010840108401,1.4726287262872628,7.3994579945799455,0.6693766937669376,9.08509485094851,"75,730",0.613,0.045,"368,385","151,753"
