MSA,GDP
"Abilene, TX ",9448299
"Akron, OH ",42289042
"Albany, GA ",7309594
"Albany-Lebanon, OR ",5671303
"Albany-Schenectady-Troy, NY ",78294954
"Albuquerque, NM ",57533723
"Alexandria, LA ",7710641
"Allentown-Bethlehem-Easton, PA-NJ ",51062860
"Altoona, PA ",7043508
"Amarillo, TX ",16545254
"Ames, IA ",8884378
"Anchorage, AK ",32368515
"Ann Arbor, MI ",34008519
"Anniston-Oxford, AL ",5993886
"Appleton, WI ",16058588
"Asheville, NC ",24166048
"Athens-Clarke County, GA ",12961126
"Atlanta-Sandy Springs-Alpharetta, GA ",472266125
"Atlantic City-Hammonton, NJ ",16336159
"Auburn-Opelika, AL ",8330773
"Augusta-Richmond County, GA-SC ",36184254
"Austin-Round Rock-Georgetown, TX ",190452006
"Bakersfield, CA ",54122694
"Baltimore-Columbia-Towson, MD ",248316770
"Bangor, ME ",8386858
"Barnstable Town, MA ",15677698
"Baton Rouge, LA ",59498970
"Battle Creek, MI ",7855141
"Bay City, MI ",4255806
"Beaumont-Port Arthur, TX ",23615808
"Beckley, WV ",4991241
"Bellingham, WA ",15603598
"Bend, OR ",12267151
"Billings, MT ",11257827
"Binghamton, NY ",13089474
"Birmingham-Hoover, AL ",74337618
"Bismarck, ND ",8791944
"Blacksburg-Christiansburg, VA  *",9537872
"Bloomington, IL ",14510977
"Bloomington, IN ",9948349
"Bloomsburg-Berwick, PA ",5067818
"Boise City, ID ",43961650
"Boston-Cambridge-Newton, MA-NH ",527846226
"Boulder, CO  *",33767709
"Bowling Green, KY ",8692455
"Bremerton-Silverdale-Port Orchard, WA ",19402536
"Bridgeport-Stamford-Norwalk, CT ",95272579
"Brownsville-Harlingen, TX ",14449866
"Brunswick, GA ",5745176
"Buffalo-Cheektowaga, NY ",81440232
"Burlington, NC ",7286494
"Burlington-South Burlington, VT ",16774409
"California-Lexington Park, MD ",12126420
"Canton-Massillon, OH ",19776672
"Cape Coral-Fort Myers, FL ",39902997
"Cape Girardeau, MO-IL ",5038978
"Carbondale-Marion, IL ",7451691
"Carson City, NV ",4828772
"Casper, WY ",5825918
"Cedar Rapids, IA ",20477905
"Chambersburg-Waynesboro, PA ",7241076
"Champaign-Urbana, IL ",15738844
"Charleston, WV ",15162479
"Charleston-North Charleston, SC ",54702909
"Charlotte-Concord-Gastonia, NC-SC ",206195242
"Charlottesville, VA  *",18201512
"Chattanooga, TN-GA ",36678281
"Cheyenne, WY ",7601656
"Chicago-Naperville-Elgin, IL-IN-WI ",762681068
"Chico, CA ",11041403
"Cincinnati, OH-KY-IN ",170588874
