MSA,Barren Land (Rock/Sand/Clay),Cultivated Crops,Deciduous Forest,"Developed, High Intensity","Developed, Low Intensity","Developed, Medium Intensity","Developed, Open Space",Emergent Herbaceous Wetlands,Evergreen Forest,Grassland/Herbaceous,Mixed Forest,Open Water,Pasture/Hay,Shrubland,Woody Wetlands
"Abilene, TX",6728.0,2099812.0,153889.0,27003.0,108973.0,76541.0,258626.0,2087.0,473501.0,638685.0,23295.0,47490.0,28297.0,3980466.0,10880.0
"Akron, OH",5972.0,173140.0,811485.0,65804.0,368917.0,181242.0,354969.0,22025.0,7673.0,25169.0,66296.0,64747.0,384584.0,8219.0,119363.0
"Albany, GA",2013.0,2102623.0,68475.0,19771.0,143836.0,46683.0,208229.0,53826.0,1247126.0,159669.0,253748.0,58219.0,39741.0,79667.0,1151533.0
"Albany, OR",45972.0,363901.0,6858.0,22567.0,76593.0,55590.0,86436.0,42935.0,3811640.0,284662.0,76560.0,52290.0,1167763.0,491627.0,51173.0
"Albany-Schenectady-Troy, NY",27105.0,226497.0,1921802.0,90837.0,363813.0,227610.0,500605.0,68212.0,952523.0,75086.0,1835704.0,172390.0,1126778.0,57824.0,636018.0
"Albuquerque, NM",41880.0,157642.0,109241.0,64833.0,259842.0,241619.0,483300.0,134429.0,3377597.0,5393552.0,34668.0,26185.0,196698.0,16164777.0,63368.0
"Alexandria, LA",18497.0,498945.0,71389.0,18728.0,166226.0,56334.0,230885.0,56117.0,2385501.0,155840.0,111458.0,129481.0,349651.0,240847.0,1341020.0
"Allentown-Bethlehem-Easton, PA-NJ",21061.0,643652.0,1621146.0,73037.0,289588.0,158189.0,461997.0,6468.0,60276.0,16792.0,288062.0,53393.0,414073.0,18691.0,119083.0
"Altoona, PA",5724.0,176665.0,883890.0,14137.0,72618.0,38628.0,72192.0,1047.0,12973.0,12493.0,89166.0,3691.0,127681.0,4434.0,1396.0
"Amarillo, TX",21734.0,2729425.0,21912.0,36059.0,172805.0,87361.0,271010.0,207654.0,127786.0,5094953.0,393.0,42769.0,7720.0,6074134.0,21473.0
"Ames, IA",2041.0,1307978.0,43839.0,9445.0,51721.0,35237.0,64175.0,6895.0,276.0,17047.0,8872.0,4518.0,83280.0,138.0,15332.0
"Ann Arbor, MI",5014.0,638828.0,342783.0,34318.0,153556.0,90634.0,186337.0,21530.0,8850.0,6533.0,31492.0,39280.0,212197.0,3120.0,304491.0
"Anniston-Oxford-Jacksonville, AL",4468.0,26404.0,637096.0,12556.0,76270.0,34239.0,163675.0,3070.0,256821.0,74699.0,146631.0,15230.0,246486.0,49789.0,14505.0
"Appleton, WI",11134.0,1611659.0,91094.0,31192.0,162400.0,90544.0,103086.0,118440.0,3191.0,3640.0,12585.0,239180.0,133656.0,1484.0,384324.0
"Asheville, NC",5409.0,36976.0,2972832.0,27009.0,164176.0,84912.0,674647.0,528.0,126646.0,31003.0,1115741.0,19246.0,572615.0,34606.0,6742.0
"Athens-Clarke County, GA",8360.0,11418.0,747372.0,15307.0,111463.0,49828.0,203297.0,6087.0,594496.0,118610.0,277472.0,21970.0,611812.0,97113.0,103818.0
