MSA,"    Car, truck, or van:",    Public transportation (excluding taxicab):,    Bicycle,    Walked,"    Taxicab, motorcycle, or other means",    Worked from home,Median Household Income,Household Number,Employment Rate,Unemployment Rate,    Total population,Total housing units,        No vehicles available,        1 vehicle available,        2 vehicles available,        3 or more vehicles available,"        Agriculture, forestry, fishing and hunting, and mining",        Construction,        Manufacturing,        Wholesale trade,        Retail trade,"        Transportation and warehousing, and utilities",        Information,"        Finance and insurance, and real estate and rental and leasing","        Professional, scientific, and management, and administrative and waste management services","        Educational services, and health care and social assistance","        Arts, entertainment, and recreation, and accommodation and food services","        Other services, except public administration",        Public administration
"Abilene, TX",89.87223039091417,0.591948486538559,0.25351112913856916,2.2017441565684734,0.7681387212898646,6.312427115550373,"54,857","61,414",0.561,0.033,"171,354","71,554","3,169","20,568","25,410","12,267","2,228","5,598","5,219","1,496","9,212","4,445",812,"5,328","5,003","21,134","6,295","4,044","4,989"
"Aguadilla-Isabela, PR",92.44894587691095,0.46511036840299397,0.346926586267807,2.8313275978193184,0.8565147221410326,3.0511748484578924,"16,744","111,662",0.325,0.158,"295,172","147,417","15,884","49,568","31,985","14,225","1,959","5,474","9,339","1,920","10,918","3,150","1,009","2,518","7,452","17,070","7,823","4,744","7,359"
"Akron, OH",89.79236090330416,1.0604207400865187,0.10139365432608083,1.524972182113462,0.6548461227821955,6.866006397387587,"59,313","289,506",0.61,0.057999999999999996,"703,286","315,600","22,517","99,403","110,368","57,218","2,045","21,136","52,804","10,861","42,696","17,816","5,610","21,305","34,973","83,021","32,632","16,613","10,873"
"Albany, GA",91.4948112895763,0.9270275629585564,0.15863573269879042,1.7945667261550664,1.3847577500165247,4.240200938594752,"46,323","56,120",0.531,0.085,"147,431","65,443","5,307","20,086","18,931","11,796","1,856","3,380","6,052","1,579","7,502","3,482",801,"2,878","4,978","15,223","4,942","3,729","5,113"
"Albany-Lebanon, OR",89.89420182758683,0.12796712506533534,0.5695438242344502,1.9231115837283492,1.2940900816466305,6.191085557738407,"59,547","48,290",0.5529999999999999,0.068,"127,216","50,936","2,266","13,541","17,682","14,801","2,884","4,198","7,720","1,086","6,168","2,828",398,"2,248","4,135","13,943","4,020","3,034","3,670"
"Albany-Schenectady-Troy, NY",85.45881552076241,3.3399137735420923,0.2355343771272975,3.277966870887225,0.8382119355570683,6.849557522123893,"72,810","359,734",0.615,0.047,"880,766","410,107","34,834","126,496","137,688","60,716","2,862","24,722","34,447","9,090","46,331","18,280","7,811","30,577","51,511","121,009","37,259","20,784","44,192"
"Albuquerque, NM",88.43383278710583,1.348909627379934,0.6840658548540564,1.6305131334877507,1.1045489057829636,6.798129691389468,"55,370","357,445",0.5670000000000001,0.059000000000000004,"915,986","392,001","21,317","120,877","132,930","82,321","5,010","29,855","18,112","8,983","46,775","15,340","6,982","24,441","57,558","109,095","42,648","24,147","29,882"
"Alexandria, LA",90.05580105151114,1.6901590168693352,0.09515208205657517,2.5916846756765475,2.972293003902848,2.59491016998355,"48,294","56,129",0.524,0.055999999999999994,"152,715","67,994","5,270","20,278","19,565","11,016","2,217","4,763","3,821","1,885","6,412","3,156",577,"2,804","4,257","18,746","5,927","3,200","5,271"
"Allentown-Bethlehem-Easton, PA-NJ",88.36915297092288,1.568762923980047,0.16439792628308783,2.4297082488068287,1.121139956291222,6.346837973715933,"69,769","324,239",0.606,0.055,"841,265","350,620","23,579","100,983","124,658","75,019","2,905","23,639","56,876","13,510","46,021","30,458","8,457","21,243","39,760","106,571","34,839","18,649","12,757"
"Altoona, PA",91.02399275690357,1.2114078768673608,0.2571299230421005,3.0493435943866003,0.6826618379357176,3.7754640108646447,"50,856","51,647",0.5589999999999999,0.047,"122,495","56,960","4,216","18,408","18,929","10,094",762,"3,983","5,916","2,069","7,923","3,920",707,"1,721","4,158","14,389","5,420","2,822","2,562"
