MSA,Diesel (gal),Gasoline (gal),"Liquefied
Petroleum Gas (gal)",Compressed Natural Gas (gal),Bio-Diesel (gal),Other Fuel (gal),Electric Propulsion (gal),Electric Battery (gal)
"New York-Newark-Jersey City, NY-NJ-PA",27734399,3522121,0,3857115,0,0,1596235000,449235
"New York-Newark-Jersey City, NY-NJ-PA",34227351,2158299,0,1390680,0,0,393532535,0
"Los Angeles-Long Beach-Anaheim, CA",0,1433393,0,30965148,0,0,227158330,58159
"Seattle-Tacoma-Bellevue, WA",7996123,967190,398139,0,607469,0,15535978,499478
"Washington-Arlington-Alexandria, DC-VA-MD-WV",7079415,2264890,0,3363008,0,0,576455528,25827
"Chicago-Naperville-Elgin, IL-IN-WI",14360110,0,0,0,0,0,366545522,31040
"Boston-Cambridge-Newton, MA-NH",19603648,1657738,0,1759264,0,0,239704280,149495
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10960149,1565864,0,0,27243,0,344567099,1030091
"Houston-The Woodlands-Sugar Land, TX",10106799,2432163,0,1316039,0,0,20764234,0
"Baltimore-Columbia-Towson, MD",10695306,1941393,0,0,0,0,91224966,0
"Baltimore-Columbia-Towson, MD",10695306,1941393,0,0,0,0,91224966,0
"Chicago-Naperville-Elgin, IL-IN-WI",4118444,645974,0,1160902,0,0,0,0
"Miami-Fort Lauderdale-Pompano Beach, FL",3924153,1393596,0,3744434,0,0,77275061,0
"Denver-Aurora-Lakewood, CO",6750391,694577,0,0,0,0,101468806,883865
"Los Angeles-Long Beach-Anaheim, CA",0,1518921,0,6994616,0,19482,0,0
"Chicago-Naperville-Elgin, IL-IN-WI",11034,2332147,0,0,0,0,0,0
"New York-Newark-Jersey City, NY-NJ-PA",5778477,0,0,0,0,0,367362724,0
"Los Angeles-Long Beach-Anaheim, CA",0,1709256,0,196608,0,0,0,0
"New York-Newark-Jersey City, NY-NJ-PA",9000151,0,0,2128363,0,0,0,0
"Dallas-Fort Worth-Arlington, TX",1375987,133062,0,8460270,0,0,116874413,295522
"Salt Lake City, UT",4975424,659008,0,305814,0,0,39602347,98071
"Chicago-Naperville-Elgin, IL-IN-WI",36200086,0,0,0,0,0,56262281,0
"New York-Newark-Jersey City, NY-NJ-PA",7034074,0,0,0,0,0,471350200,0
"Phoenix-Mesa-Chandler, AZ",584671,447598,0,3595551,0,129962,0,0
"San Francisco-Oakland-Berkeley, CA",0,381193,0,0,4112953,0,84668662,0
"Portland-Vancouver-Hillsboro, OR-WA",0,0,0,0,5950711,0,54389715,184970
"San Antonio-New Braunfels, TX",1202975,640923,579952,5313273,0,0,0,0
"Atlanta-Sandy Springs-Alpharetta, GA",2288438,1463932,0,5725662,0,0,84261140,0
"Pittsburgh, PA",6328318,1027274,0,0,0,0,30751496,9366
"San Diego-Chula Vista-Carlsbad, CA",138709,232864,733556,7391077,0,0,52502166,109357
"Urban Honolulu, HI",5201984,1217903,0,0,0,0,0,0
"Austin-Round Rock-Georgetown, TX",4951005,579775,0,0,0,0,0,28923
