MSA,Diesel (gal),Gasoline (gal),Liquefied Petroleum Gas (gal equivalent),Compressed Natural Gas (gal equivalent),Bio-Diesel (gal),Other Fuel (gal/gal equivalent),Electric Propulsion (kwh),Electric Battery (kwh),Diesel (miles),Gasoline (miles),Liquefied Petroleum Gas (miles),Compressed Natural Gas (miles),Other Fuel (miles),Electric Propulsion (miles),Electric Battery (miles)
"Akron, OH",498438,89147,0,849308,0,0,0,0,2619706,560570,0,3166425,0,0,0
"Albany, GA",39176,1760,0,147318,0,0,0,0,148053,12499,0,439611,0,0,0
"Albany-Schenectady-Troy, NY",2042304,223610,0,0,0,0,0,42126,8632669,1343264,0,0,0,0,0
"Albuquerque, NM",1404572,381365,0,224908,792273,0,0,0,6161642,3268665,0,989182,0,0,0
"Allentown-Bethlehem-Easton, PA-NJ",677850,126382,0,475045,0,0,0,0,3865849,1128538,0,1603714,0,0,0
"Altoona, PA",12164,8943,0,155442,0,0,0,0,63458,0,0,508595,0,0,0
"Ames, IA",309731,16010,0,0,11882,0,0,0,1318565,71276,0,0,0,0,0
"Ann Arbor, MI",314911,161055,0,0,588407,0,0,0,3769297,425464,0,0,0,0,0
"Appleton, WI",162056,102594,0,0,0,0,0,0,809472,48032,0,0,0,0,0
"Asheville, NC",218878,94520,20898,17646,0,0,0,428649,930782,1452596,0,272970,25546,0,166963
"Athens-Clarke County, GA",474855,16591,0,0,0,0,0,31094,1560379,86813,0,0,0,0,11007
"Atlanta-Sandy Springs-Alpharetta, GA",4703850,1827216,0,5743447,0,0,84261140,0,19622806,10404027,0,20095547,0,19751095,0
"Atlantic City-Hammonton, NJ",3036,73552,0,0,0,0,0,0,17617,470737,0,0,0,0,0
"Augusta-Richmond County, GA-SC",163110,0,0,0,0,0,0,0,743806,0,0,0,0,0,0
"Austin-Round Rock-Georgetown, TX",5144301,579775,0,0,0,0,0,28923,20617444,4259674,0,0,0,0,0
"Bakersfield, CA",0,15557,0,1392774,0,0,0,0,0,0,0,16217591,0,0,0
"Baltimore-Columbia-Towson, MD",21883156,4223698,0,0,0,0,182449932,52714,6244069,25153609,0,0,0,5687284,20992
"Barnstable Town, MA",4403629,222605,0,619,90193,0,0,0,1484956,1826121,0,0,0,0,0
"Baton Rouge, LA",714468,92053,0,0,0,0,0,55000,3176971,541484,0,0,0,0,45961
"Bay City, MI",100371,0,475,0,0,0,0,0,562705,0,0,0,0,0,0
"Beaumont-Port Arthur, TX",21789,0,0,255286,0,0,0,0,137653,0,0,758108,0,0,0
"Bellingham, WA",354935,82976,49438,0,0,0,0,0,1700907,556482,0,0,226111,0,0
"Bend, OR",88431,63257,0,0,0,0,0,0,701946,481131,0,0,0,0,0
"Billings, MT",128260,25286,0,0,0,0,0,0,660206,162511,0,0,0,0,0
"Binghamton, NY",246230,53590,0,0,0,0,0,0,1218272,633748,0,0,0,0,0
"Birmingham-Hoover, AL",4370,37880,0,903948,0,0,0,0,38268,229164,0,2746806,0,0,0
"Blacksburg-Christiansburg, VA",282188,12413,0,0,0,0,0,0,1184515,95770,0,0,0,0,0
"Bloomington, IL",0,53908,19336,0,282297,0,0,0,1345849,310658,0,0,78660,0,0
"Bloomington, IN",191369,20899,0,0,0,0,0,0,886607,112972,0,0,0,0,0
