MSA,Palmer Z Index,Average Temperature (F),Precipitation (inches)
"Abilene, TX",0.34,65.0,27.35666666666667
"Akron, OH",0.165,52.5,40.55
"Albany, GA",0.5475,67.725,58.845
"Albany-Lebanon, OR",-0.35,50.2,65.67
"Albany-Schenectady-Troy, NY",-0.396,48.86,37.660000000000004
"Albuquerque, NM",-1.3725,54.5,7.7875
"Allentown-Bethlehem-Easton, PA-NJ",0.2,52.224999999999994,50.89
"Altoona, PA",-0.45,51.2,40.18
"Amarillo, TX",-1.056,59.739999999999995,11.632000000000001
"Ames, IA",-0.73,49.6,25.130000000000003
"Ann Arbor, MI",0.66,49.9,34.88
"Anniston-Oxford, AL",0.87,63.1,68.91
"Appleton, WI",1.24,46.7,37.985
"Asheville, NC",1.5175,54.825,70.89750000000001
"Athens-Clarke County, GA",1.2650000000000001,63.275,66.15
"Atlanta-Sandy Springs-Alpharetta, GA",1.09,62.83793103448276,67.41793103448276
"Atlantic City-Hammonton, NJ",0.79,56.9,55.73
"Auburn-Opelika, AL",1.23,64.3,71.43
"Augusta-Richmond County, GA-SC",0.8200000000000001,65.52857142857142,56.93571428571429
"Austin-Round Rock-Georgetown, TX",-0.522,69.53999999999999,32.79
"Bakersfield, CA",-1.05,63.4,6.05
"Baltimore-Columbia-Towson, MD",0.5866666666666667,56.86666666666667,51.906666666666666
"Bangor, ME",-0.55,44.6,40.34
"Barnstable Town, MA",-1.03,52.9,37.47
"Battle Creek, MI",-0.14,49.7,35.0
"Bay City, MI",0.02,49.4,32.28
"Beaumont-Port Arthur, TX",-0.03,69.83333333333333,56.51666666666667
"Beckley, WV",1.245,53.599999999999994,57.515
"Bellingham, WA",0.54,44.9,82.93
"Bend, OR",-0.99,45.7,19.23
"Billings, MT",0.49,45.0,15.656666666666666
"Binghamton, NY",0.02500000000000001,48.45,39.7
"Birmingham-Hoover, AL",0.8783333333333333,63.6,70.66833333333334
"Bismarck, ND",-0.34,43.5,10.273333333333333
"Blacksburg-Christiansburg, VA",2.4133333333333336,54.333333333333336,62.27333333333333
"Bloomington, IL",-0.08,52.3,37.77
"Bloomington, IN",0.165,53.9,45.230000000000004
"Bloomsburg-Berwick, PA",-0.42000000000000004,51.4,40.485
"Boise City, ID",-0.236,49.52,16.664
"Boston-Cambridge-Newton, MA-NH",-0.5428571428571428,51.285714285714285,42.30714285714286
"Boulder, CO",-0.93,46.2,15.95
"Bowling Green, KY",1.1675,58.4,60.725
"Bremerton-Silverdale-Port Orchard, WA",0.41,52.6,49.13
"Bridgeport-Stamford-Norwalk, CT",-0.74,53.3,43.4
"Brownsville-Harlingen, TX",-0.72,76.3,24.44
