msa,Node Count,Edge Count,Degree Average,Edge Length Total (km),Edge Length Average (km),Streets per Node Average,Intersection Count,Street Length Total (km),Street Segment Count,Street Length Average (km),Circuity Average,Self-loop Proportion,Node Density (/sq km),Intersection Density (/sq km),Edge Density (km/sq km),Street Density (km/sq km),Building Area (sq km),Area (sq km),Car Mode Share,Transit Mode Share,Bicycle Mode Share,Walking Mode Share,Working from Home Share,Median Household Income,Households,Employment Rate (%),Unemployment Rate (%),Population,Housing Units,No Vehicles Available,1 Vehicle Available,2 Vehicles Available,3 or More Vehicles Available,GDP ($),Transit Diesel (gal),Transit Gasoline Vehicle Fuel Use (gal),Transit Liquefied Petroleum Gas (GGE),Transit Compressed Natural Gas (GGE),Transit Bio-Diesel (gal),Transit Other Fuel (GGE),Transit Electric Propulsion Vehicle Fuel Use (kWh),Transit Electric Battery Vehicle Fuel Use (kWh),Transit Diesel Vehicle Miles,Transit Gasoline Vehicle Miles,Transit Compressed Natural Gas Vehicle Miles,Transit Other Fuel Vehicle Miles,Transit Electric Propulsion Vehicle Miles,Transit Electric Battery Vehicle Miles,Cooling Degree Days (°Df),Heating Degree Days (°Df),Palmer Z Index,Average Temperature (°F),Precipitation (in),Population Density (/sq km),Built-Up Area Proportion,Cluster
"Abilene, TX",14357.0,39401.0,5.488751131852058,17168.965934999855,0.4357494970939787,2.881451556731908,11912.0,8925.43612,20606.0,433.1474386101136,1.0678402558487987,0.0044647190138794,2.0125234485942585,1.6697902987848998,2.4066968400294804,1.251142263734078,7.048504742434362,7133.829923834339,89.87223039091417,0.591948486538559,0.2535111291385691,2.201744156568473,6.312427115550373,54857,61414,0.561,0.033,171354,71554,3169,20568,25410,12267,9448299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2383.0,2332.0,0.34,65.0,27.35666666666667,24.019916626761898,5.944727283555529,3
"Akron, OH",26865.0,70900.0,5.278243067187791,15191.985931000036,0.2142734263892812,2.756895589056393,21200.0,8039.294972000027,36980.0,217.395753704706,1.0562403121295567,0.0150892374256354,11.231302808274206,8.862967412447913,6.351230011170778,3.360943837542104,14.307097335607372,2391.975397565481,89.79236090330416,1.0604207400865189,0.1013936543260808,1.524972182113462,6.866006397387587,59313,289506,0.61,0.0579999999999999,703286,315600,22517,99403,110368,57218,42289042.0,498438.0,89147.0,0.0,849308.0,0.0,0.0,0.0,0.0,2619706.0,560570.0,3166425.0,0.0,0.0,0.0,823.0,5338.0,0.165,52.5,40.55,294.0189103599454,38.22202766508072,7
"Albany, GA",8466.0,22838.0,5.395227970706355,9545.102272000036,0.4179482560644556,2.8374675171273327,6957.0,4989.592978999986,11954.0,417.3994461268183,1.0528330884702628,0.0029278902459427,2.02896526638344,1.6673176657488291,2.2875833893179456,1.19580803777246,6.9795804483505375,4172.570196379139,91.4948112895763,0.9270275629585564,0.1586357326987904,1.7945667261550664,4.240200938594752,46323,56120,0.531,0.085,147431,65443,5307,20086,18931,11796,7309594.0,39176.0,1760.0,0.0,147318.0,0.0,0.0,0.0,0.0,148053.0,12499.0,439611.0,0.0,0.0,0.0,2546.75,1526.0,0.5475,67.725,58.845,35.33337800474568,9.334386944852223,3
"Albany-Lebanon, OR",7132.0,17906.0,5.021312394840157,8280.29442999999,0.4624312761085664,2.568143578238923,5101.0,4225.43890999999,9147.0,461.9480605663048,1.150205044188318,0.0054662730950038,1.1933240823336295,0.8534977767784416,1.3854563589641058,0.7069991600858877,7.519704540317961,5976.5826447186655,89.89420182758683,0.1279671250653353,0.5695438242344502,1.9231115837283488,6.191085557738407,59547,48290,0.5529999999999999,0.068,127216,50936,2266,13541,17682,14801,5671303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,5550.0,-0.35,50.2,65.67,21.285742632943784,3.662438420540973,1
"Albany-Schenectady-Troy, NY",36977.0,96867.0,5.239310923006193,27872.441864000528,0.2877392906149724,2.755794142304676,30254.0,14555.424690999978,50900.0,285.96119235756345,1.0915652231431503,0.033320235756385,4.962653379926319,4.060364966230112,3.7407379674711865,1.953471821376912,41.45546560411076,7451.05433911022,85.45881552076241,3.3399137735420923,0.2355343771272975,3.277966870887225,6.849557522123893,72810,359734,0.615,0.047,880766,410107,34834,126496,137688,60716,78294954.0,2042304.0,223610.0,0.0,0.0,0.0,0.0,0.0,42126.0,8632669.0,1343264.0,0.0,0.0,0.0,0.0,529.4,6367.2,-0.396,48.86,37.66,118.2068952815043,15.46878649409046,3
"Albuquerque, NM",56267.0,139711.0,4.966001386247712,41850.18760699994,0.2995482646820933,2.720333410347095,43144.0,22270.600903999777,76552.0,290.9212156965171,1.089402586029313,0.0037621486048698,2.336804279112958,1.7917977467796302,1.7380648956176363,0.9249122130357684,75.87954764307965,24078.61047796384,88.43383278710583,1.348909627379934,0.6840658548540564,1.6305131334877507,6.798129691389468,55370,357445,0.5670000000000001,0.059,915986,392001,21317,120877,132930,82321,57533723.0,1404572.0,381365.0,0.0,224908.0,792273.0,0.0,0.0,0.0,6161642.0,3268665.0,989182.0,0.0,0.0,0.0,938.75,4742.0,-1.3725,54.5,7.7875,38.041480875247686,3.9330872216915496,4
"Allentown-Bethlehem-Easton, PA-NJ",36264.0,97249.0,5.363390690491948,21698.84959799967,0.2231267118222261,2.8146371056695347,29337.0,11406.213688999993,50956.0,223.84436943637635,1.0714316119452103,0.0053183138393908,9.49654151076619,7.682551243694786,5.682330298457868,2.986972804386112,24.565920185611,3818.6533443662256,88.36915297092288,1.568762923980047,0.1643979262830878,2.4297082488068287,6.346837973715933,69769,324239,0.606,0.055,841265,350620,23579,100983,124658,75019,51062860.0,677850.0,126382.0,0.0,475045.0,0.0,0.0,0.0,0.0,3865849.0,1128538.0,1603714.0,0.0,0.0,0.0,730.75,5352.25,0.2,52.225,50.89,220.30410307894107,23.81749335078185,3
"Altoona, PA",7387.0,19256.0,5.213483146067416,4506.170260999963,0.2340138274304093,2.7555164478137266,5646.0,2403.920069999997,10142.0,237.02623447051835,1.0775413867303028,0.0037467955038453,5.408914426464471,4.134118160527739,3.299511213324472,1.7602000740071024,2.2148948255918604,1365.7084245698636,91.02399275690355,1.2114078768673608,0.2571299230421005,3.0493435943866003,3.7754640108646447,50856,51647,0.5589999999999999,0.047,122495,56960,4216,18408,18929,10094,7043508.0,12164.0,8943.0,0.0,155442.0,0.0,0.0,0.0,0.0,63458.0,0.0,508595.0,0.0,0.0,0.0,662.0,5661.0,-0.45,51.2,40.18,89.69337656284897,13.038336636224637,5
"Amarillo, TX",17675.0,48852.0,5.527807637906648,20509.683939000097,0.4198330455047919,2.9626025459688825,14816.0,10954.097934000052,26126.0,419.27956571997447,1.0519434263946847,0.0021434586235933,1.3153044190833187,1.1025488131902943,1.5262505187535498,0.815161155284963,20.82193669384014,13437.953787396473,93.26981977625172,0.2643711513041235,0.1990843730857271,1.637811522713351,3.4980816971338298,56055,97747,0.615,0.034,264345,109725,5325,32152,38300,21970,16545254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1769.2,3653.2,-1.056,59.74,11.632,19.671521734799427,3.8080414401054266,3
"Ames, IA",6597.0,19097.0,5.78960133393967,8720.754905000009,0.4566557524742111,3.014855237229044,5597.0,4522.072175000005,9901.0,456.72883294616753,1.03212000087871,0.016058983941016,2.2198482665419794,1.8833546684607327,2.934478195968127,1.521648336948837,7.026282832210185,2971.8247411011707,81.13851814893351,4.3766371460646125,1.6418236247973057,5.695709118123986,6.606274167394287,60442,48798,0.627,0.05,123736,52680,3309,15407,17692,12390,8884378.0,309731.0,16010.0,0.0,0.0,11882.0,0.0,0.0,0.0,1318565.0,71276.0,0.0,0.0,0.0,0.0,941.5,6529.0,-0.73,49.6,25.130000000000003,41.63637185218104,9.818509999009455,1
