Agency,City,State,County,Diesel (gal),Gasoline (gal),Diesel (miles),Gasoline (miles)
MTA New York City Transit,Brooklyn,NY,Kings,0,0,0,0
MTA New York City Transit,Brooklyn,NY,Kings,3290382,0,14383040,0
MTA New York City Transit,Brooklyn,NY,Kings,23223866,0,77895324,0
MTA New York City Transit,Brooklyn,NY,Kings,1074143,0,2792754,0
MTA New York City Transit,Brooklyn,NY,Kings,146008,3522121,424795,24447143
New Jersey Transit Corporation,Newark,NJ,Essex,13166567,0,2485889,0
New Jersey Transit Corporation,Newark,NJ,Essex,0,2019291,0,18045265
New Jersey Transit Corporation,Newark,NJ,Essex,0,0,0,0
New Jersey Transit Corporation,Newark,NJ,Essex,18447851,0,83839923,0
New Jersey Transit Corporation,Newark,NJ,Essex,1915268,0,8136238,0
New Jersey Transit Corporation,Newark,NJ,Essex,0,139008,0,1542938
New Jersey Transit Corporation,Newark,NJ,Essex,697665,0,1298820,0
New Jersey Transit Corporation,Newark,NJ,Essex,0,0,0,0
"Los Angeles County Metropolitan Transportation Authority, dba: Metro",Los Angeles,CA,Los Angeles,0,0,0,0
"Los Angeles County Metropolitan Transportation Authority, dba: Metro",Los Angeles,CA,Los Angeles,0,0,0,0
"Los Angeles County Metropolitan Transportation Authority, dba: Metro",Los Angeles,CA,Los Angeles,0,0,0,0
"Los Angeles County Metropolitan Transportation Authority, dba: Metro",Los Angeles,CA,Los Angeles,0,0,0,0
"Los Angeles County Metropolitan Transportation Authority, dba: Metro",Los Angeles,CA,Los Angeles,0,0,0,0
"Los Angeles County Metropolitan Transportation Authority, dba: Metro",Los Angeles,CA,Los Angeles,0,1433393,0,0
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,King,128946,572171,1256491,3955806
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,King,66554,75268,341854,523151
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,King,7047,0,36849,0
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,King,0,319751,0,5466426
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,King,0,0,0,0
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,King,0,0,0,0
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,King,7793576,0,36563708,0
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,King,0,0,0,0
Washington Metropolitan Area Transit Authority,Washington,DC,District of Columbia,0,0,0,0
Washington Metropolitan Area Transit Authority,Washington,DC,District of Columbia,0,2264890,0,45350997
Washington Metropolitan Area Transit Authority,Washington,DC,District of Columbia,389525,0,1754611,0
Washington Metropolitan Area Transit Authority,Washington,DC,District of Columbia,0,0,0,0
Washington Metropolitan Area Transit Authority,Washington,DC,District of Columbia,6689890,0,26770507,0
Chicago Transit Authority,Chicago,IL,Cook,14360110,0,48558908,0
Chicago Transit Authority,Chicago,IL,Cook,0,0,0,0
Massachusetts Bay Transportation Authority,Boston,MA,Suffolk,963095,0,178857,0
Massachusetts Bay Transportation Authority,Boston,MA,Suffolk,4887759,0,13133647,0
Massachusetts Bay Transportation Authority,Boston,MA,Suffolk,354179,0,425049,0
Massachusetts Bay Transportation Authority,Boston,MA,Suffolk,0,1627838,0,13130454
Massachusetts Bay Transportation Authority,Boston,MA,Suffolk,37630,29900,228103,172543
Massachusetts Bay Transportation Authority,Boston,MA,Suffolk,13360985,0,4339139,0
Massachusetts Bay Transportation Authority,Boston,MA,Suffolk,0,0,0,0
Massachusetts Bay Transportation Authority,Boston,MA,Suffolk,0,0,0,0
Massachusetts Bay Transportation Authority,Boston,MA,Suffolk,0,0,0,0
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,Philadelphia,0,0,64719,0
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,Philadelphia,0,1565864,0,9489165
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,Philadelphia,0,0,0,0
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,Philadelphia,0,0,0,0
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,Philadelphia,0,0,0,0
