Agency,City,State,County,Diesel (gal),Gasoline (gal),"Liquefied
Petroleum Gas (gal)",Compressed Natural Gas (gal),Bio-Diesel (gal),Other Fuel (gal),Electric Propulsion (gal),Electric Battery (gal),County Name,MSA
MTA New York City Transit,Brooklyn,NY,Kings,27734399,3522121,0,3857115,0,0,1596235000,449235,Kings,"New York-Newark-Jersey City, NY-NJ-PA"
New Jersey Transit Corporation,Newark,NJ,Essex,34227351,2158299,0,1390680,0,0,393532535,0,Essex,"New York-Newark-Jersey City, NY-NJ-PA"
"Los Angeles County Metropolitan Transportation Authority, dba: Metro",Los Angeles,CA,Los Angeles,0,1433393,0,30965148,0,0,227158330,58159,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA"
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,King,7996123,967190,398139,0,607469,0,15535978,499478,King,"Seattle-Tacoma-Bellevue, WA"
Washington Metropolitan Area Transit Authority,Washington,DC,District of Columbia,7079415,2264890,0,3363008,0,0,576455528,25827,District of Columbia,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
Chicago Transit Authority,Chicago,IL,Cook,14360110,0,0,0,0,0,366545522,31040,Cook,"Chicago-Naperville-Elgin, IL-IN-WI"
Massachusetts Bay Transportation Authority,Boston,MA,Suffolk,19603648,1657738,0,1759264,0,0,239704280,149495,Suffolk,"Boston-Cambridge-Newton, MA-NH"
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,Philadelphia,10960149,1565864,0,0,27243,0,344567099,1030091,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
"Metropolitan Transit Authority of Harris County, Texas, dba: Metro",Houston,TX,Harris,10106799,2432163,0,1316039,0,0,20764234,0,Harris,"Houston-The Woodlands-Sugar Land, TX"
Maryland Transit Administration,Baltimore,MD,Baltimore,10695306,1941393,0,0,0,0,91224966,0,Baltimore,"Baltimore-Columbia-Towson, MD"
Maryland Transit Administration,Baltimore,MD,Baltimore,10695306,1941393,0,0,0,0,91224966,0,Baltimore,"Baltimore-Columbia-Towson, MD"
Pace - Suburban Bus Division,Arlington Heights,IL,Cook,4118444,645974,0,1160902,0,0,0,0,Cook,"Chicago-Naperville-Elgin, IL-IN-WI"
