Agency,City,State,County,Diesel (gal),Gasoline (gal),Liquefied Petroleum Gas (gal equivalent),Compressed Natural Gas (gal equivalent),Bio-Diesel (gal),Other Fuel (gal/gal equivalent),Electric Propulsion (kwh),Electric Battery (kwh),Diesel (miles),Gasoline (miles),Liquefied Petroleum Gas (miles),Compressed Natural Gas (miles),Other Fuel (miles),Electric Propulsion (miles),Electric Battery (miles)
MTA New York City Transit,Brooklyn,NY,Kings,0,0,0,0,0,0,1596235000,0,0,0,0,0,0,335497633,0
MTA New York City Transit,Brooklyn,NY,Kings,3290382,0,0,0,0,0,0,0,14383040,0,0,0,0,0,0
MTA New York City Transit,Brooklyn,NY,Kings,23223866,0,0,3857115,0,0,0,449235,77895324,0,0,11633307,0,0,111558
MTA New York City Transit,Brooklyn,NY,Kings,1074143,0,0,0,0,0,0,0,2792754,0,0,0,0,0,0
MTA New York City Transit,Brooklyn,NY,Kings,146008,3522121,0,0,0,0,0,0,424795,24447143,0,0,0,0,0
New Jersey Transit Corporation,Newark,NJ,Essex,13166567,0,0,0,0,0,359673989,0,2485889,0,0,0,1663636,8381067,0
New Jersey Transit Corporation,Newark,NJ,Essex,0,2019291,0,0,0,0,0,0,0,18045265,0,0,0,0,0
New Jersey Transit Corporation,Newark,NJ,Essex,0,0,0,0,0,0,27163871,0,0,0,0,0,0,2073346,0
New Jersey Transit Corporation,Newark,NJ,Essex,18447851,0,0,1390680,0,0,0,0,83839923,0,0,6939273,0,0,0
New Jersey Transit Corporation,Newark,NJ,Essex,1915268,0,0,0,0,0,0,0,8136238,0,0,0,0,0,0
New Jersey Transit Corporation,Newark,NJ,Essex,0,139008,0,0,0,0,0,0,0,1542938,0,0,0,0,0
New Jersey Transit Corporation,Newark,NJ,Essex,697665,0,0,0,0,0,0,0,1298820,0,0,0,0,0,0
New Jersey Transit Corporation,Newark,NJ,Essex,0,0,0,0,0,0,6694675,0,0,0,0,0,0,492775,0
"Los Angeles County Metropolitan Transportation Authority, dba: Metro",Los Angeles,CA,Los Angeles,0,0,0,0,0,0,82163176,0,0,0,0,0,0,6909214,0
"Los Angeles County Metropolitan Transportation Authority, dba: Metro",Los Angeles,CA,Los Angeles,0,0,0,627188,0,0,0,0,0,0,0,1688701,0,0,0
"Los Angeles County Metropolitan Transportation Authority, dba: Metro",Los Angeles,CA,Los Angeles,0,0,0,0,0,0,144995154,0,0,0,0,0,0,16469107,0
"Los Angeles County Metropolitan Transportation Authority, dba: Metro",Los Angeles,CA,Los Angeles,0,0,0,28240353,0,0,0,0,0,0,0,55070862,0,0,0
"Los Angeles County Metropolitan Transportation Authority, dba: Metro",Los Angeles,CA,Los Angeles,0,0,0,2097607,0,0,0,0,0,0,0,6720554,0,0,0
"Los Angeles County Metropolitan Transportation Authority, dba: Metro",Los Angeles,CA,Los Angeles,0,1433393,0,0,0,0,0,58159,0,0,0,0,0,0,0
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,King,128946,572171,398139,0,0,0,0,0,1256491,3955806,0,0,2019221,0,0
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,King,66554,75268,0,0,0,0,0,0,341854,523151,0,0,0,0,0
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,King,7047,0,0,0,152414,0,0,0,36849,0,0,0,0,0,0
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,King,0,319751,0,0,0,0,0,0,0,5466426,0,0,0,0,0
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,King,0,0,0,0,0,0,13543196,0,0,0,0,0,0,1986145,0
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,King,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,King,7793576,0,0,0,455055,0,0,499478,36563708,0,0,0,0,0,184987
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,King,0,0,0,0,0,0,1992782,0,0,0,0,0,0,152125,0
Washington Metropolitan Area Transit Authority,Washington,DC,District of Columbia,0,0,0,0,0,0,576455528,0,0,0,0,0,0,64920984,0
Washington Metropolitan Area Transit Authority,Washington,DC,District of Columbia,0,2264890,0,0,0,0,0,0,0,45350997,0,0,0,0,0
Washington Metropolitan Area Transit Authority,Washington,DC,District of Columbia,389525,0,0,0,0,0,0,0,1754611,0,0,0,0,0,0
Washington Metropolitan Area Transit Authority,Washington,DC,District of Columbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington Metropolitan Area Transit Authority,Washington,DC,District of Columbia,6689890,0,0,3363008,0,0,0,25827,26770507,0,0,11356091,0,0,8999
Chicago Transit Authority,Chicago,IL,Cook,14360110,0,0,0,0,0,0,31040,48558908,0,0,0,0,0,9011
Chicago Transit Authority,Chicago,IL,Cook,0,0,0,0,0,0,366545522,0,0,0,0,0,0,63157258,0
Massachusetts Bay Transportation Authority,Boston,MA,Suffolk,963095,0,0,0,0,0,0,0,178857,0,0,0,0,0,0
Massachusetts Bay Transportation Authority,Boston,MA,Suffolk,4887759,0,0,1759264,0,0,0,0,13133647,0,0,4029303,0,0,0
Massachusetts Bay Transportation Authority,Boston,MA,Suffolk,354179,0,0,0,0,0,11565841,149495,425049,0,0,0,1083935,0,0
Massachusetts Bay Transportation Authority,Boston,MA,Suffolk,0,1627838,0,0,0,0,0,0,0,13130454,0,0,0,0,0
Massachusetts Bay Transportation Authority,Boston,MA,Suffolk,37630,29900,0,0,0,0,0,0,228103,172543,0,0,0,0,0
Massachusetts Bay Transportation Authority,Boston,MA,Suffolk,13360985,0,0,0,0,0,0,0,4339139,0,0,0,0,0,0
Massachusetts Bay Transportation Authority,Boston,MA,Suffolk,0,0,0,0,0,0,178406868,0,0,0,0,0,0,22078161,0
Massachusetts Bay Transportation Authority,Boston,MA,Suffolk,0,0,0,0,0,0,2928240,0,0,0,0,0,0,399393,0
Massachusetts Bay Transportation Authority,Boston,MA,Suffolk,0,0,0,0,0,0,46803331,0,0,0,0,0,0,5523588,0
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,Philadelphia,0,0,0,0,27243,0,0,0,64719,0,0,0,0,0,0
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,Philadelphia,0,1565864,0,0,0,0,0,0,0,9489165,0,0,0,0,0
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,Philadelphia,0,0,0,0,0,0,190958248,0,0,0,0,0,0,15598066,0
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,Philadelphia,0,0,0,0,0,0,4702003,0,0,0,0,0,0,382885,0
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,Philadelphia,0,0,0,0,0,0,125067726,0,0,0,0,0,0,14000061,0
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,Philadelphia,10960149,0,0,0,0,0,0,1030091,40660324,0,0,0,0,0,244645
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,Philadelphia,0,0,0,0,0,0,23839122,0,0,0,0,0,0,2543660,0
"Metropolitan Transit Authority of Harris County, Texas, dba: Metro",Houston,TX,Harris,18167,0,0,0,0,0,0,0,0,0,0,0,0,0,0
