Agency,City,State,County,Diesel (gal),Gasoline (gal),"Liquefied
Petroleum Gas (gal)",Compressed Natural Gas (gal),Bio-Diesel (gal),Other Fuel (gal),Electric Propulsion (gal),Electric Battery (gal)
MTA New York City Transit,Brooklyn,NY,Kings,27734399,3522121,0,3857115,0,0,1596235000,449235
New Jersey Transit Corporation,Newark,NJ,Essex,34227351,2158299,0,1390680,0,0,393532535,0
"Los Angeles County Metropolitan Transportation Authority, dba: Metro",Los Angeles,CA,Los Angeles,0,1433393,0,30965148,0,0,227158330,58159
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,King,7996123,967190,398139,0,607469,0,15535978,499478
Washington Metropolitan Area Transit Authority,Washington,DC,District of Columbia,7079415,2264890,0,3363008,0,0,576455528,25827
Chicago Transit Authority,Chicago,IL,Cook,14360110,0,0,0,0,0,366545522,31040
Massachusetts Bay Transportation Authority,Boston,MA,Suffolk,19603648,1657738,0,1759264,0,0,239704280,149495
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,Philadelphia,10960149,1565864,0,0,27243,0,344567099,1030091
"Metropolitan Transit Authority of Harris County, Texas, dba: Metro",Houston,TX,Harris,10106799,2432163,0,1316039,0,0,20764234,0
Maryland Transit Administration,Baltimore,MD,Baltimore,10695306,1941393,0,0,0,0,91224966,0
Pace - Suburban Bus Division,Arlington Heights,IL,Cook,4118444,645974,0,1160902,0,0,0,0
"County of Miami-Dade, dba: Transportation & Public Work",Miami,FL,Miami-Dade,3924153,1393596,0,3744434,0,0,77275061,0
Denver Regional Transportation District,Denver,CO,Denver,6750391,694577,0,0,0,0,101468806,883865
Orange County Transportation Authority,Orange,CA,Orange,0,1518921,0,6994616,0,19482,0,0
"Pace-Suburban Bus Division, ADA Paratransit Services",Arlington Heights,IL,Cook,11034,2332147,0,0,0,0,0,0
"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",New York,NY,Queens,5778477,0,0,0,0,0,367362724,0
Access Services  ,El Monte,CA,Los Angeles,0,1709256,0,196608,0,0,0,0
MTA Bus Company,New York,NY,Queens,9000151,0,0,2128363,0,0,0,0
Puerto Rico Highway and Transportation Authority - Público,San Juan,PR,San Juan,0,0,0,0,0,0,0,0
Dallas Area Rapid Transit,Dallas,TX,Dallas,1375987,133062,0,8460270,0,0,116874413,295522
Utah Transit Authority,Salt Lake City,UT,Salt Lake,4975424,659008,0,305814,0,0,39602347,98071
"Northeast Illinois Regional Commuter Railroad Corporation, dba: Metra",Chicago,IL,Cook,36200086,0,0,0,0,0,56262281,0
MTA Long Island Rail Road,Jamaica,NY,,7034074,0,0,0,0,0,471350200,0
"Regional Public Transportation Authority, dba: Valley Metro",Phoenix,AZ,Maricopa,584671,447598,0,3595551,0,129962,0,0
"City and County of San Francisco, dba: San Francisco Municipal Transportation Agency (MUNI)",San Francisco,CA,San Francisco,0,381193,0,0,4112953,0,84668662,0
"Tri-County Metropolitan Transportation District of Oregon, dba: TriMet",Portland,OR,Multnomah,0,0,0,0,5950711,0,54389715,184970
