MSA,carbon dioxide equivalent (Ton),Size--Auto,Public Transportation,Transit Alternative Fuel,Density,Active Mobility,Network Connectivity,Network Compactness,Cluster,Total population,Emissions per capita,carbon dioxide equivalent (MMTCO2e),Emissions per capita (MTCO2e)
"Abilene, TX",1604660.574900176,0.0640281315944889,-0.090244600562417,-0.4000602990150416,-0.5593456355408463,-0.1161663314355373,1.189934613694565,-0.9331075713907542,Moderate Auto,171354,9.364593618475062,1.4557235876498227,8.521780192812306
"Akron, OH",4038062.128360731,-0.6449442619922261,-0.0925014089128983,0.1640634329456695,2.3463505188850693,-0.3855934255252063,0.4174584163471431,0.1170130732232346,Moderate Compact,703286,5.74170697036587,3.663268345092759,5.224953343032942
"Albany, GA",1062810.967735076,-0.260351960698435,0.0174800864137603,0.0516997126107513,-0.6396370043042885,-0.5446476347200345,0.8914042081788284,-0.6528004367424012,Moderate Auto,147431,7.20887037146242,0.9641658922424338,6.560072038030802
"Albany-Lebanon, OR",964003.2642506552,-0.2452103041385778,0.0496043831528529,0.2654770767322582,-1.1160830884683592,-0.3249383961794717,-0.909080236301281,-1.1681841179056205,Moderate Auto,127216,7.577688846140856,0.8745290513717537,6.8956968499881794
"Albany-Schenectady-Troy, NY",4416599.338593545,0.192922899410428,-0.1449453017392035,-0.2511208854481158,0.4094094822946572,0.719031372027503,0.3760999670984862,0.0172404462721478,Moderate Compact,880766,5.014497992194913,4.006671526026114,4.563193172897371
"Albuquerque, NM",7084605.633458377,1.304885767889967,-0.3110442022875672,-0.9585336115928134,-1.0904231238982365,0.0858265811590344,0.1149165085676422,0.6575555777280568,Moderate Compact,915986,7.7344038374586255,6.427046124981133,7.038307492087349
"Allentown-Bethlehem-Easton, PA-NJ",4309470.017808417,-0.1569651790961428,-0.183116681049848,-0.2213744146904315,1.792667309167003,0.0154935150978374,0.7961801300661656,0.2504071929471231,Moderate Compact,841265,5.122607047492071,3.9094854409217814,4.661572413217785
"Altoona, PA",631815.4936303205,-0.7151739516143218,0.0643175142169464,0.0282064926268024,0.1463658427632341,-0.4989510643677239,0.3928942740194525,1.0968062723727905,Moderate Auto,122495,5.157888025064864,0.5731733747976517,4.693678102809026
"Amarillo, TX",2835924.0866390765,0.3332218530919047,-0.0815865675098996,-0.3022391770645405,-1.2924062817962991,-0.8133395535877496,1.7090123870927307,-0.2791774314124672,Small Compact,264345,10.728116993470943,2.572707057354856,9.762586464058558
"Ames, IA",895867.1787574748,-0.4423248748968013,-0.0907082124562508,-0.3911295260144013,-0.1153470141714922,2.016417897314734,2.088593117945481,-1.5472827224321102,Moderate Auto,123736,7.24014982509112,0.8127170343171701,6.588536340832919
"Ann Arbor, MI",1782390.5919604758,-0.9107905996723604,-0.0784439744116152,-0.2957969782091793,1.1914399655169825,2.8055386922207544,0.408912734214039,-0.163977567136145,Moderate Auto,368385,4.838390792134522,1.6169575471020756,4.402935620842415
"Anniston-Oxford, AL",834885.4805079389,-0.6220490113738055,0.0563958419381362,-0.004938665702953,0.6740417172190474,-1.5512297456062858,-0.312416688832039,0.8902095291485068,Moderate Auto,114324,7.302801515936626,0.7573953681995143,6.64554937950233
"Appleton, WI",1403964.3269223426,-0.468045832315321,-0.019441323788794,-0.02555289225517,0.2173176267549482,-0.3638311019301288,0.9473574445803012,0.2298877791971399,Small Compact,236834,5.928052251460275,1.2736550139563956,5.39452754882885
"Asheville, NC",2882633.029903809,0.0727712538278565,-0.1703464127640399,-0.578363956891312,1.1467097633380907,0.0446467191270212,-2.615979850015436,-0.2441723775127592,Small Compact,459344,6.275543013305517,2.615080697941681,5.7107441421080205
