MSA,carbon dioxide equivalent (Ton),Auto + Scale,Transit Propensity,Density,Sustainable Transit,Warm Weather,Remote + Active,Network Connectivity,Network Sprawl,Cluster
"Abilene, TX",1604660.574900176,-0.0207689741994175,-0.1166311416990873,-0.5677201264863997,-0.2157188312540126,1.024830676749677,-0.1968861026237572,1.1381872843840382,1.3058394875175705,3
"Akron, OH",4038062.128360731,-0.595251402372768,-0.0327038240502067,2.3671342806057174,0.1817701367535332,-0.7144999539687633,-0.5385290870063395,0.4877866523073843,-0.2002011976005921,7
"Albany, GA",1062810.967735076,-0.2808105918482213,0.0565363546329155,-0.5901215698961544,-0.0447319530600426,1.3458772161865389,-0.471592824670969,0.8288848898227809,1.1036056354387636,3
"Albany-Lebanon, OR",964003.2642506552,-0.2349827698599334,0.0671616571131512,-1.1314924815395302,0.029690351548192,-0.738240764010401,-0.1383770581210136,-0.9125213980216914,0.8688928912775199,1
"Albany-Schenectady-Troy, NY",4416599.338593545,0.2537695252631658,-0.1449943492226216,0.2791230217981322,-0.2783145638921288,-1.043975319454093,0.433585970580587,0.4000558784327376,-0.4112226773863388,3
"Albuquerque, NM",7084605.633458377,1.0920083671081755,-0.4366371430482972,-1.0904698357417455,-0.4688961985586953,-0.4951842794358124,-0.0101775850880365,-0.2111856557803348,-0.9587230173477396,4
"Allentown-Bethlehem-Easton, PA-NJ",4309470.017808417,-0.1871117548151654,-0.1501301880527527,1.7894963858286144,-0.0521831209687676,-0.7795240968693355,-0.2896245628321272,0.7816258036316049,-0.4245211339133378,3
"Altoona, PA",631815.4936303205,-0.7410889325331881,0.1399054177272465,0.2206929130052748,0.0859193891062639,-0.7485129785777909,-0.4284972767400123,0.3757832787739543,-1.4563610771554083,5
"Amarillo, TX",2835924.0866390765,0.2415329713252872,-0.1481247766007302,-1.16141089357216,-0.2406795139346848,0.3057864992349197,-0.6823863737808677,1.5101169025415484,0.3257664071452171,3
"Ames, IA",895867.1787574748,-0.4682044878850014,-0.0441026152139082,-0.2561900753458957,-0.0872090154129175,-0.5786244474893526,1.4369348308282877,2.1532453054860268,1.4499541175910835,1
"Ann Arbor, MI",1782390.5919604758,-0.8536502416972617,0.0050022934483821,1.1450535613791666,-0.0175513766609671,-0.6139696116672643,2.2728931029167807,0.2120342059240006,0.1919476018043855,7
"Anniston-Oxford, AL",834885.4805079389,-0.685374817308247,0.1486837421518153,0.7516379589934781,0.0079390958761965,0.5498365282601901,-1.3459517536172296,-0.2314224927194743,-0.772812322804116,5
"Appleton, WI",1403964.3269223426,-0.431743788233021,0.0053944013932744,0.1253514677480878,-0.027072720406838,-1.2193168906111471,-0.4117175364189129,0.7781023048344755,-0.7268954672889493,5
"Asheville, NC",2882633.029903809,-0.1223382015586955,-0.1666538977499303,0.8973868717951338,0.1110054181888289,-0.4654454827022819,-0.3091897335269742,-2.695919054135471,0.0936394393614003,3
"Athens-Clarke County, GA",1244162.534546942,-0.5517708704535258,0.0458114984620902,0.3239835464334669,-0.035141619924772,0.8195898959994967,0.5523910712253826,-0.9288255803677726,0.853783183484135,5
"Atlanta-Sandy Springs-Alpharetta, GA",37835772.79788506,5.1549877658610965,-1.169835808076379,0.8679353267717558,-0.1007292677094847,-0.2508493347391365,-0.6060022404217196,-1.659695208498224,0.6881375816092656,4
"Atlantic City-Hammonton, NJ",1311634.544169578,-0.8265423989369959,0.0838282131986553,0.9068000233551758,-0.0152101138700697,-0.0016135425857116,0.8008007199105132,1.02753530622142,-1.0134793029591396,5
"Auburn-Opelika, AL",1129843.922483407,-0.6747640594095123,0.152673961042491,0.4769349058260704,0.0318601403346813,0.8056147154569228,-0.6475974420399496,-1.3816971716481,-0.1594955947677713,5
"Augusta-Richmond County, GA-SC",3970996.1926719686,0.448893969921964,-0.2339273996292843,-0.0229558645051722,-0.3856572910484203,0.8148444850029651,-0.9701093162635168,-0.6263502389149976,0.2850542743046434,4
"Austin-Round Rock-Georgetown, TX",10346328.444829453,1.3707465992605872,-0.5610082276002488,0.9198396676798704,-0.5947642421208692,1.3819192565471266,1.5343945306123268,-0.0056897053520765,0.4213128729973149,4
"Bakersfield, CA",6430136.48421314,0.7077311244758226,-0.3338338603247601,-1.2105370702061615,0.2896327193495159,0.5567986038805922,-1.048020769499337,0.2417992223987555,-0.4957724887891944,4
"Baltimore-Columbia-Towson, MD",15517952.728114389,0.7063872439485401,0.5714471824072394,1.736216913056282,0.1452169539580685,0.0240947265115928,2.253020572198696,-0.3966376351004906,0.4659187271079803,4
"Bangor, ME",964842.9606018522,-0.0485816789628514,-0.0106739028204813,-1.177064340038663,-0.0317853998050124,-1.1890548608045997,0.1272010807776206,-1.6432332960902318,1.9842303298488848,1
"Barnstable Town, MA",1538387.6785518196,-0.6504046795442933,-0.0284951865344049,0.7440421406146667,-0.0715280757266281,-0.5012296228877074,1.0590342768072387,-0.0889834902505919,-1.7481159912357147,1
"Battle Creek, MI",841694.4197542989,-0.5465484662041801,0.0869596889121957,0.0914167065176837,0.0076776765480208,-0.8592844098329612,-0.5567130365693393,1.1280726179148592,-0.0643368833604258,5
"Bay City, MI",660458.3765044638,-0.6577256883163916,0.103652635432537,0.3508914431102423,0.0358542920161822,-0.9191187897918988,-0.7186043333804588,1.498025406334582,-0.1912760032380283,5
"Beaumont-Port Arthur, TX",3135966.638485827,0.0760846500040446,-0.0698691462450216,-0.2025062030173191,-0.2034354766495987,1.368472335644549,-1.3738370920484142,0.0152252465710012,-0.6575759476430405,3
"Beckley, WV",820800.1604110488,-0.3872698334318195,0.1317486986708984,-0.3403014081280069,0.0060069865132443,-0.460495945049033,-0.92734665909697,-2.0020379309462037,-0.018105960576252,5
"Bellingham, WA",1026685.2586261396,-0.4484283591060066,0.0992268196624881,-1.3057721541374616,0.0258048311239474,-1.275209525618339,1.1927356515644318,-0.958754131529574,-1.661434767284307,1
