MSA,carbon dioxide equivalent (Ton),Auto + Scale,Transit Propensity,Density,Sustainable Transit,Warm Weather,Remote + Active,Network Connectivity,Network Sprawl,Cluster,Population,Emissions per capita,carbon dioxide equivalent (MMTCO2e),Emissions per capita (MTCO2e)
"Abilene, TX",1604660.574900176,-0.0207689741994175,-0.1166311416990873,-0.5677201264863997,-0.2157188312540126,1.024830676749677,-0.1968861026237572,1.1381872843840382,1.3058394875175705,Sparse Auto,171354,9.364593618475062,1.4557235876498227,8.521780192812306
"Akron, OH",4038062.128360731,-0.595251402372768,-0.0327038240502067,2.3671342806057174,0.1817701367535332,-0.7144999539687633,-0.5385290870063395,0.4877866523073843,-0.2002011976005921,Dense Active,703286,5.74170697036587,3.663268345092759,5.224953343032942
"Albany, GA",1062810.967735076,-0.2808105918482213,0.0565363546329155,-0.5901215698961544,-0.0447319530600426,1.3458772161865389,-0.471592824670969,0.8288848898227809,1.1036056354387636,Sparse Auto,147431,7.20887037146242,0.9641658922424338,6.560072038030802
"Albany-Lebanon, OR",964003.2642506552,-0.2349827698599334,0.0671616571131512,-1.1314924815395302,0.029690351548192,-0.738240764010401,-0.1383770581210136,-0.9125213980216914,0.8688928912775199,Sparse Active,127216,7.577688846140856,0.8745290513717537,6.8956968499881794
"Albany-Schenectady-Troy, NY",4416599.338593545,0.2537695252631658,-0.1449943492226216,0.2791230217981322,-0.2783145638921288,-1.043975319454093,0.433585970580587,0.4000558784327376,-0.4112226773863388,Sparse Auto,880766,5.014497992194913,4.006671526026114,4.563193172897371
"Albuquerque, NM",7084605.633458377,1.0920083671081755,-0.4366371430482972,-1.0904698357417455,-0.4688961985586953,-0.4951842794358124,-0.0101775850880365,-0.2111856557803348,-0.9587230173477396,Auto Large,915986,7.7344038374586255,6.427046124981133,7.038307492087349
"Allentown-Bethlehem-Easton, PA-NJ",4309470.017808417,-0.1871117548151654,-0.1501301880527527,1.7894963858286144,-0.0521831209687676,-0.7795240968693355,-0.2896245628321272,0.7816258036316049,-0.4245211339133378,Sparse Auto,841265,5.122607047492071,3.9094854409217814,4.661572413217785
"Altoona, PA",631815.4936303205,-0.7410889325331881,0.1399054177272465,0.2206929130052748,0.0859193891062639,-0.7485129785777909,-0.4284972767400123,0.3757832787739543,-1.4563610771554083,Auto Small,122495,5.157888025064864,0.5731733747976517,4.693678102809026
"Amarillo, TX",2835924.0866390765,0.2415329713252872,-0.1481247766007302,-1.16141089357216,-0.2406795139346848,0.3057864992349197,-0.6823863737808677,1.5101169025415484,0.3257664071452171,Sparse Auto,264345,10.728116993470943,2.572707057354856,9.762586464058558
"Ames, IA",895867.1787574748,-0.4682044878850014,-0.0441026152139082,-0.2561900753458957,-0.0872090154129175,-0.5786244474893526,1.4369348308282877,2.1532453054860268,1.4499541175910835,Sparse Active,123736,7.24014982509112,0.8127170343171701,6.588536340832919
"Ann Arbor, MI",1782390.5919604758,-0.8536502416972617,0.0050022934483821,1.1450535613791666,-0.0175513766609671,-0.6139696116672643,2.2728931029167807,0.2120342059240006,0.1919476018043855,Dense Active,368385,4.838390792134522,1.6169575471020756,4.402935620842415
"Anniston-Oxford, AL",834885.4805079389,-0.685374817308247,0.1486837421518153,0.7516379589934781,0.0079390958761965,0.5498365282601901,-1.3459517536172296,-0.2314224927194743,-0.772812322804116,Auto Small,114324,7.302801515936626,0.7573953681995143,6.64554937950233
"Appleton, WI",1403964.3269223426,-0.431743788233021,0.0053944013932744,0.1253514677480878,-0.027072720406838,-1.2193168906111471,-0.4117175364189129,0.7781023048344755,-0.7268954672889493,Auto Small,236834,5.928052251460275,1.2736550139563956,5.39452754882885
"Asheville, NC",2882633.029903809,-0.1223382015586955,-0.1666538977499303,0.8973868717951338,0.1110054181888289,-0.4654454827022819,-0.3091897335269742,-2.695919054135471,0.0936394393614003,Sparse Auto,459344,6.275543013305517,2.615080697941681,5.7107441421080205
"Athens-Clarke County, GA",1244162.534546942,-0.5517708704535258,0.0458114984620902,0.3239835464334669,-0.035141619924772,0.8195898959994967,0.5523910712253826,-0.9288255803677726,0.853783183484135,Auto Small,210810,5.901819337540639,1.1286852663672133,5.370655597161981
"Atlanta-Sandy Springs-Alpharetta, GA",37835772.79788506,5.1549877658610965,-1.169835808076379,0.8679353267717558,-0.1007292677094847,-0.2508493347391365,-0.6060022404217196,-1.659695208498224,0.6881375816092656,Auto Large,5947008,6.362152665320958,34.32403573713224,5.789558925442073
"Atlantic City-Hammonton, NJ",1311634.544169578,-0.8265423989369959,0.0838282131986553,0.9068000233551758,-0.0152101138700697,-0.0016135425857116,0.8008007199105132,1.02753530622142,-1.0134793029591396,Auto Small,264650,4.956110123444466,1.1898948439253316,4.510060212334464
"Auburn-Opelika, AL",1129843.922483407,-0.6747640594095123,0.152673961042491,0.4769349058260704,0.0318601403346813,0.8056147154569228,-0.6475974420399496,-1.3816971716481,-0.1594955947677713,Auto Small,163461,6.912009118281468,1.0249771659182259,6.289928297636136
"Augusta-Richmond County, GA-SC",3970996.1926719686,0.448893969921964,-0.2339273996292843,-0.0229558645051722,-0.3856572910484203,0.8148444850029651,-0.9701093162635168,-0.6263502389149976,0.2850542743046434,Auto Large,605303,6.560344476521624,3.6024271516110713,5.969913473634678
"Austin-Round Rock-Georgetown, TX",10346328.444829453,1.3707465992605872,-0.5610082276002488,0.9198396676798704,-0.5947642421208692,1.3819192565471266,1.5343945306123268,-0.0056897053520765,0.4213128729973149,Auto Large,2173804,4.759549823640702,9.38603128804825,4.331190339513039
"Bakersfield, CA",6430136.48421314,0.7077311244758226,-0.3338338603247601,-1.2105370702061615,0.2896327193495159,0.5567986038805922,-1.048020769499337,0.2417992223987555,-0.4957724887891944,Auto Large,892458,7.204973773794554,5.83332169948718,6.556526134153044
"Baltimore-Columbia-Towson, MD",15517952.728114389,0.7063872439485401,0.5714471824072394,1.736216913056282,0.1452169539580685,0.0240947265115928,2.253020572198696,-0.3966376351004906,0.4659187271079803,Auto Large,2800427,5.541280928984897,14.077649922792126,5.042565645376257
"Bangor, ME",964842.9606018522,-0.0485816789628514,-0.0106739028204813,-1.177064340038663,-0.0317853998050124,-1.1890548608045997,0.1272010807776206,-1.6432332960902318,1.9842303298488848,Sparse Active,151696,6.3603718001915155,0.8752908110884321,5.787938338174279
"Barnstable Town, MA",1538387.6785518196,-0.6504046795442933,-0.0284951865344049,0.7440421406146667,-0.0715280757266281,-0.5012296228877074,1.0590342768072387,-0.0889834902505919,-1.7481159912357147,Sparse Active,213505,7.20539415260448,1.3956018273565747,6.5569086788700774
"Battle Creek, MI",841694.4197542989,-0.5465484662041801,0.0869596889121957,0.0914167065176837,0.0076776765480208,-0.8592844098329612,-0.5567130365693393,1.1280726179148592,-0.0643368833604258,Auto Small,133943,6.283974673960557,0.763572333984579,5.718416953304107
"Bay City, MI",660458.3765044638,-0.6577256883163916,0.103652635432537,0.3508914431102423,0.0358542920161822,-0.9191187897918988,-0.7186043333804588,1.498025406334582,-0.1912760032380283,Auto Small,103506,6.380870447166965,0.5991577610724722,5.806592106921938
"Beaumont-Port Arthur, TX",3135966.638485827,0.0760846500040446,-0.0698691462450216,-0.2025062030173191,-0.2034354766495987,1.368472335644549,-1.3738370920484142,0.0152252465710012,-0.6575759476430405,Sparse Auto,394268,7.953895924817198,2.8449010819691463,7.23804529158365
"Beckley, WV",820800.1604110488,-0.3872698334318195,0.1317486986708984,-0.3403014081280069,0.0060069865132443,-0.460495945049033,-0.92734665909697,-2.0020379309462037,-0.018105960576252,Auto Small,117539,6.983215446881876,0.7446173807388847,6.354726056662507
"Bellingham, WA",1026685.2586261396,-0.4484283591060066,0.0992268196624881,-1.3057721541374616,0.0258048311239474,-1.275209525618339,1.1927356515644318,-0.958754131529574,-1.661434767284307,Sparse Active,224538,4.572434325709411,0.9313932001896448,4.160915236395564
"Bend, OR",894396.4505557624,-0.3406727010161304,-0.0780887009911292,-1.1755138502041589,-0.069401375566314,-1.152183138725779,1.7487023500641266,0.0105122333990094,-1.2520135270702395,Sparse Active,191749,4.664412594359097,0.8113828121347701,4.244615460866778
"Billings, MT",1353509.7486050376,0.1532166794636199,-0.110839966119002,-1.4117383389243945,-0.1300324596144399,-1.2379538841148787,0.0064382090356787,-0.2024954489411118,1.1178431690650783,Sparse Auto,180641,7.492815853571656,1.2278833904054178,6.818462426750208
"Binghamton, NY",1486572.1965305689,-0.3808958671619105,0.0748317699327063,-0.0571714371106205,-0.0225527386712694,-0.9507760047596128,-0.2017009377228099,-0.1092534745381065,0.5485688929902689,Auto Small,240473,6.181867388565738,1.3485956127317327,5.625499323594822
"Birmingham-Hoover, AL",9349932.825334746,1.2081273555929213,-0.5508258322882642,0.4360457376853295,-0.465730956158898,0.3475614497475926,-1.418476273695788,-1.1877951892943253,-0.3572025266382853,Auto Large,1088170,8.592345704563392,8.48211638628179,7.819034591152687
"Bismarck, ND",1218157.9597231387,0.140771834496881,-0.1049337089284962,-1.3589048318493788,-0.0619917487168232,-1.2897020094702951,-0.3241363722757794,1.3206537110467025,2.822893554048566,Sparse Active,128589,9.4732672291031,1.1050943128970878,8.620673178483822
"Bloomington, IL",1123140.6168910784,-0.425918862571597,-0.0141031331062372,-0.1465515933175702,-0.0590600706807924,-0.4511123774851956,0.4013220799040343,1.3075422285705616,0.4412496388851002,Sparse Auto,172164,6.523667066814656,1.0188960293722091,5.936537030801337
"Bloomington, IN",923947.296791504,-0.6654579231879479,0.0710147704435864,0.0131527952876096,0.0012693109957405,-0.1864097703881514,1.1816411020337187,-0.6911801620828942,0.3185489150677344,Auto Small,168172,5.494061418021454,0.8381908889164024,4.999595890399523
"Bloomsburg-Berwick, PA",617077.7008696746,-0.584218051292514,0.0687273100756579,0.2981000244377869,0.0151158508171822,-0.6250956243637283,-0.3422128384558636,0.1983447972459691,0.8070902445140996,Auto Small,83568,7.3841386759246905,0.5598034740926994,6.719566195091469
"Boise City, ID",3942092.965938919,0.7887907570534661,-0.4184339240208802,-1.461570875621035,-0.2911007203154899,-0.9737459432016802,0.4105981666291711,-0.3356902580847523,-1.2269765584351768,Auto Large,730483,5.396556752092683,3.5762065853601004,4.910866644404342
"Boston-Cambridge-Newton, MA-NH",21426826.911790576,2.121804044092953,0.6937788201368719,2.461147695674069,-0.3015757471041025,-0.764176147323627,3.277854915697416,0.0540751154889999,0.7904913411606145,Auto Large,4854808,4.413527149125274,19.438090417298337,4.016309705704
"Bowling Green, KY",1294487.1764805464,-0.2467459055688523,0.0605293953514982,-0.4051318888732771,-0.0450577888844417,0.1695375455512742,-0.7438239240221106,-1.0810670900476895,0.8841166248415657,Sparse Auto,176852,7.3196072223132695,1.1743390136136282,6.660842572305076
"Bremerton-Silverdale-Port Orchard, WA",1115215.4234897206,-1.0490823317795828,0.1087671429805714,1.3661598968782984,0.0763848257274128,-0.4000536798455968,2.275526121799374,-1.974274763898992,0.1890276961623083,Auto Large,268945,4.1466300674476955,1.0117064148509194,3.773433361377403
"Bridgeport-Stamford-Norwalk, CT",4288005.683933286,-0.9905143512183264,-0.0896721862702836,4.260505837154111,-0.0039825549219495,-0.3795830457675128,1.974779969912294,-0.3424358180363661,1.5375035598252464,Dense Active,944306,4.540906955937255,3.8900133247596687,4.132225329902902
"Brownsville-Harlingen, TX",1879781.2730300608,-0.3219160995973089,0.0035256899397945,-0.156499203408253,-0.1580937244983627,2.4752740790814283,-0.0370812116530692,1.1111429310189525,-0.2644709073722869,Sparse Auto,422135,4.453033444348516,1.7053088868607007,4.05226043435715
"Brunswick, GA",1289922.8354348957,-0.3217868686840922,0.0593825475717441,-0.525624829983456,-0.0915214301428249,1.5156850301583336,-0.4287188939935631,-0.5200086634752568,0.3548288178396019,Sparse Auto,118149,10.917763463380103,1.170198313065386,9.935164751675893
"Buffalo-Cheektowaga, NY",4532195.980539998,0.0091045424009384,0.0906048335476034,0.07854328990494,0.1437408594936036,-0.9062367329192276,0.1205104732178215,1.1733952488088322,-1.1029453136056038,Sparse Active,1129018,4.014281420260791,4.111539035683121,3.65299609243732
"Burlington, NC",880557.235634109,-0.7975727176677485,0.1617462986991205,1.1765079249817154,0.0775352423577304,0.1956283671545955,-1.2104822490262646,-0.8760500499369474,-0.2633459605285438,Auto Small,166144,5.299964101226099,0.7988280875337376,4.82296733211575
